Община,Училище,БЕЛ 24,ДЗИ II 24,БЕЛ-УЧ. 24,ДЗИ II-УЧ. 24,БЕЛ 23,ДЗИ II 23,БЕЛ-УЧ. 23,ДЗИ II-УЧ. 23,БЕЛ 22,ДЗИ II 22,БЕЛ-УЧ. 22,ДЗИ II-УЧ. 22,БЕЛ 21,ДЗИ II 21,БЕЛ-УЧ. 21,ДЗИ II-УЧ. 21,БЕЛ 20,ДЗИ II 20,БЕЛ-УЧ. 20,ДЗИ II-УЧ. 20
СВИЩОВ,СУ Цветан Радославов,3.84,3.132,11.0,13.0,3.53,3.162,14.0,14.0,3.76,3.325,18.0,17.0,3.53,3.67,14.0,14.0,3.78,4.38,13.0,14.0
СВИЩОВ,ПДТГ Димитър Хадживасилев,3.73,5.36,32.0,27.0,3.5,5.34,20.0,17.0,3.67,5.65,28.0,28.0,4.08,3.6,47.0,2.0,4.06,4.16,57.0,20.0
СВОГЕ,ПГ Велизар Пеев,4.21,5.16,83.0,83.0,3.91,5.34,92.0,92.0,4.08,4.97,66.0,62.0,4.15,3.96,95.0,5.0,4.06,4.89,77.0,10.0
СВОГЕ,СУ Иван Вазов,4.72,4.4,12.0,13.0,4.25,3.9,11.0,11.0,4.53,4.501,24.0,23.0,4.27,4.4,24.0,22.0,4.6,4.93,17.0,17.0
СЕВЛИЕВО,ПГ Марин Попов,3.08,3.465,13.0,13.0,2.22,2.6,15.0,11.0,2.43,3.31,16.0,14.0,3.09,3.14,12.0,13.0,2.84,2.83,14.0,15.0
СЕВЛИЕВО,ПГ по механоелектротехника,3.54,4.36,88.0,82.0,3.11,4.28,86.0,81.0,3.33,4.21,65.0,65.0,3.66,4.02,71.0,70.0,3.85,3.95,79.0,79.0
СЕВЛИЕВО,СУ Васил Левски,4.77,4.736,75.0,76.0,4.39,4.363,71.0,72.0,4.26,4.065,63.0,63.0,4.65,4.85,55.0,55.0,4.77,4.91,61.0,61.0
СТАМБОЛИЙСКИ,СУ Отец Паисий,3.33,3.221,21.0,20.0,2.72,3.437,9.0,8.0,3.01,3.728,22.0,18.0,3.38,3.27,12.0,12.0,3.19,3.2,9.0,10.0
ТРОЯН,НУПИ Проф. Венко Колев,4.31,4.46,24.0,24.0,3.93,4.27,20.0,20.0,3.9,4.83,21.0,21.0,3.97,,21.0,,4.19,,14.0,
ТРОЯН,ПГ по механоелектротехника,2.93,4.17,35.0,29.0,2.57,4.61,26.0,23.0,2.78,4.09,38.0,36.0,3.14,4.06,32.0,5.0,3.18,4.36,36.0,7.0
ТРОЯН,СУ Васил Левски,4.61,5.116,67.0,67.0,4.25,4.781,75.0,75.0,4.31,4.696,68.0,68.0,4.52,4.96,87.0,72.0,5.1,5.23,69.0,62.0
ТРОЯН,СУ Св. Климент Охридски,4.26,4.575,54.0,54.0,3.71,4.516,43.0,43.0,4.31,4.347,34.0,34.0,4.37,4.4,37.0,37.0,4.35,4.51,33.0,33.0
ХАРМАНЛИ,ПГ по електропромишленост,3.03,4.17,32.0,19.0,2.51,4.26,23.0,16.0,2.3,3.956,28.0,20.0,3.3,2.64,17.0,6.0,3.32,5.4,18.0,2.0
ХАРМАНЛИ,СУ Неофит Рилски,4.04,3.949,71.0,67.0,3.47,3.781,53.0,49.0,3.49,3.441,63.0,58.0,3.84,4.26,68.0,67.0,4.23,5.05,78.0,77.0
ЧЕРВЕН БРЯГ,ПГ по механоелектротехника,3.33,4.6,38.0,33.0,2.9,3.989,44.0,34.0,3.12,4.17,26.0,25.0,3.28,3.43,38.0,5.0,3.3,3.58,35.0,6.0
ЧЕРВЕН БРЯГ,ПГ по хранителни технологии,2.71,3.94,14.0,12.0,2.59,4.44,18.0,14.0,2.79,3.75,22.0,19.0,3.27,3.36,25.0,10.0,3.04,2.88,19.0,8.0
ЧЕРВЕН БРЯГ,СУ Д-р Петър Перон,4.77,4.451,43.0,45.0,3.94,4.082,34.0,34.0,4.37,4.157,49.0,49.0,5.04,5.03,25.0,25.0,4.3,4.39,26.0,26.0
ЧЕРВЕН БРЯГ,Търговска гимназия,3.99,4.29,29.0,26.0,3.47,4.46,16.0,13.0,3.71,4.43,17.0,17.0,3.98,3.94,34.0,28.0,3.87,3.71,46.0,43.0
ЧИРПАН,ПГ по селско стопанство,3.05,4.589,30.0,27.0,3.15,4.58,40.0,38.0,3.16,4.543,45.0,45.0,3.28,4.03,36.0,6.0,3.42,4.13,46.0,6.0
ЧИРПАН,СУ Пейо Крачолов Яворов,4.21,4.29,52.0,54.0,4.23,4.517,52.0,49.0,4.25,4.351,52.0,51.0,4.12,4.57,54.0,53.0,4.37,4.72,43.0,43.0
