Община,Училище,"БЕЛ-УЧ 24""",БЕЛ 24,МАТ-УЧ 24,МАТ 24,БЕЛ-УЧ 23,БЕЛ 23,МАТ-УЧ 23,МАТ 23,БЕЛ-УЧ 22,БЕЛ 22,МАТ-УЧ 22,МАТ 22,БЕЛ-УЧ 21,БЕЛ 21,МАТ-УЧ 21,МАТ 21,БЕЛ-УЧ 20,БЕЛ 20,МАТ-УЧ 20,МАТ 20,БЕЛ-УЧ 19,БЕЛ 19,МАТ-УЧ 19,МАТ 19
БЕЛИЦА,Основно училище Св св Кирил и Методий,11.0,51.64,11.0,57.32,23.0,48.83,23.0,38.8,19.0,"45,39",19.0,"48,25",22.0,"43,43",22.0,"44,5",16.0,"37,53",16.0,"42,91",9.0,"30,33",9.0,"54,61"
КРЕСНА,СУ Св Паисий Хилендарски,24.0,42.35,23.0,31.0,28.0,57.5,28.0,29.13,34.0,"50,9",34.0,"19,42",28.0,"56,84",28.0,"31,38",36.0,"55,58",36.0,"40,06",31.0,"52,95",30.0,"25,08"
БАНСКО,СУ Неофит Рилски,96.0,53.07,96.0,33.72,78.0,52.4,77.0,30.37,85.0,"59,88",85.0,"30,57",84.0,"67,13",84.0,"47,46",81.0,"49,45",81.0,"27,73",57.0,"48,17",57.0,"28,08"
БАНСКО,Основно училище Свети Климент Охридски,12.0,59.96,12.0,57.42,21.0,57.95,22.0,34.84,16.0,"62,63",16.0,"34,81",18.0,"69,22",18.0,"46,6",25.0,"44,78",24.0,"27,42",23.0,"61,72",23.0,"39,85"
ЯКОРУДА,Основно училище Неофит Рилски,7.0,60.79,7.0,42.54,5.0,62.9,5.0,25.8,6.0,"55,75",6.0,"30,67",7.0,"64,29",7.0,"28,61",3.0,"70,50",3.0,"45,17",5.0,"48,6",5.0,"31,5"
ЯКОРУДА,ОУ Гоце Делчев,23.0,58.61,23.0,51.57,16.0,44.75,16.0,31.81,9.0,"59,33",9.0,"51,19",15.0,"50,03",15.0,"41,65",13.0,"40,85",13.0,"22,42",11.0,"49,27",11.0,"34,32"
ЯКОРУДА,СУ Свети Свети Кирил и Методий,43.0,48.67,41.0,43.16,50.0,43.0,49.0,23.24,61.0,"39,45",61.0,"25,47",40.0,"39,83",40.0,"30,12",32.0,"36,83",31.0,"34,15",49.0,"47,11",50.0,"28,6"
ЯКОРУДА,ОУ Братя Миладинови,20.0,36.75,20.0,36.03,21.0,43.88,21.0,36.89,22.0,"33,14",22.0,"30,1",5.0,"55,9",5.0,"56,1",10.0,"32,35",10.0,"33,80",17.0,"43,24",17.0,"40,54"
ЯКОРУДА,ОУ Васил Левски,18.0,63.53,18.0,51.58,14.0,65.32,14.0,42.09,16.0,"56,09",16.0,"25,8",18.0,"53,25",18.0,"26,58",13.0,"67,12",13.0,"34,50",11.0,"64,36",11.0,"46,16"
ХАДЖИДИМОВО,СУ Никола Йонков Вапцаров,30.0,43.32,30.0,33.98,23.0,38.02,23.0,22.04,29.0,"57,31",29.0,"36,49",23.0,"44,48",23.0,"32,54",32.0,"45,97",32.0,"35,40",29.0,"39,93",29.0,"27,15"
ХАДЖИДИМОВО,Основно училище Никола Й Вапцаров,6.0,56.17,6.0,56.38,9.0,56.44,9.0,40.06,6.0,51,6.0,"33,63",13.0,"68,38",13.0,"49,31",8.0,"55,44",8.0,"47,97",6.0,"62,17",6.0,"36,42"
ХАДЖИДИМОВО,СУ Св Паисий Хилендарски,30.0,59.78,30.0,40.63,29.0,55.28,29.0,26.75,29.0,"58,57",29.0,"28,67",31.0,"54,26",31.0,"36,21",25.0,"58,26",25.0,"40,73",32.0,"59,5",32.0,"31,15"
ХАДЖИДИМОВО,Основно училище Св Св Кирил и Методий,8.0,51.81,8.0,49.63,,,,,8.0,19,8.0,"12,19",7.0,"40,86",7.0,"33,39",8.0,"35,00",8.0,"24,81",,,,
