Община,Училище,БЕЛ-УЧ 24,БЕЛ 24,МАТ-УЧ 24,МАТ 24,БЕЛ-УЧ 23,БЕЛ 23,МАТ-УЧ 23,МАТ 23,БЕЛ-УЧ 22,БЕЛ 22,МАТ-УЧ 22,МАТ 22,БЕЛ-УЧ 21,БЕЛ 21,МАТ-УЧ 21,МАТ 21
КАМЕНО,СУ Христо Ботев,14.0,29.14,14.0,18.04,15.0,19.13,15.0,14.13,16.0,"11,81",16.0,"14,75",14.0,"12,36",13.0,12
КАРНОБАТ,СУ Св Св Кирил и Методий,52.0,58.06,52.0,52.63,51.0,50.07,50.0,54.64,53.0,"55,98",52.0,67,52.0,"52,37",52.0,"48,02"
КАРНОБАТ,СУ Христо Ботев,52.0,57.5,52.0,66.36,51.0,55.34,51.0,31.11,51.0,"43,75",51.0,"44,32",53.0,"48,17",53.0,"36,92"
КАРНОБАТ,ПГ по селско стопанство,92.0,37.73,91.0,36.77,79.0,32.37,86.0,37.87,73.0,"28,78",76.0,"48,08",70.0,"22,6",70.0,"37,53"
МАЛКО ТЪРНОВО,СУ Васил Левски,14.0,28.0,14.0,45.43,12.0,25.04,12.0,40.75,15.0,"27,27",15.0,"45,67",16.0,"23,38",16.0,18
НЕСЕБЪР,ОУ Св Св Кирил и Методий,,,,,,,,,,,,,5.0,"32,8",5.0,"13,6"
НЕСЕБЪР,СУ Любен Каравелов,75.0,47.77,75.0,27.73,67.0,53.51,67.0,36.51,45.0,"44,58",45.0,"32,41",50.0,"44,54",48.0,"24,94"
НЕСЕБЪР,ПГ по туризъм Иван Вазов,47.0,25.9,40.0,15.25,50.0,26.06,49.0,16.06,54.0,"22,19",53.0,"23,9",48.0,"23,9",48.0,"13,33"
ПОМОРИЕ,СУ Иван Вазов,26.0,46.62,25.0,19.82,25.0,41.96,21.0,17.73,16.0,"30,19",17.0,"21,9",20.0,43,21.0,"21,67"
ПОМОРИЕ,ПГ по туризъм Алеко Константинов,35.0,24.07,35.0,15.27,38.0,24.93,37.0,15.3,36.0,"22,17",37.0,"22,3",48.0,"24,04",48.0,"12,9"
ПРИМОРСКО,СУ Никола Йонков Вапцаров,22.0,33.7,22.0,21.91,23.0,46.83,23.0,28.11,17.0,"32,94",17.0,"15,91",15.0,"40,67",15.0,"37,93"
РУЕН,ОУ Св Св Кирил и Методий,19.0,18.84,18.0,17.33,13.0,13.69,14.0,13.71,11.0,"11,27",11.0,20,14.0,"17,36",14.0,"15,71"
РУЕН,СУ Димитър Полянов,32.0,35.44,32.0,37.09,33.0,33.86,33.0,54.4,41.0,"26,12",41.0,"37,71",37.0,"23,54",37.0,"19,22"
РУЕН,Средно Училище Отец Паисий,47.0,34.36,46.0,32.35,40.0,38.91,41.0,35.4,33.0,"28,7",32.0,"35,2",32.0,"26,47",32.0,"24,03"
РУЕН,СУ Елин Пелин,103.0,53.33,103.0,49.59,100.0,31.93,101.0,31.51,97.0,"28,25",97.0,"28,28",91.0,"30,92",91.0,"49,05"
СОЗОПОЛ,ОУ Христо Ботев,7.0,22.36,7.0,12.57,5.0,22.7,4.0,20.0,,,,,,,,
