Община,Училище,БЕЛ-УЧ 24,БЕЛ 24,МАТ-УЧ 24,МАТ 24,БЕЛ-УЧ 23,БЕЛ 23,МАТ-УЧ 23,МАТ 23,БЕЛ-УЧ 22,БЕЛ 22,МАТ-УЧ 22,МАТ 22,БЕЛ-УЧ 21,БЕЛ 21,МАТ-УЧ 21,МАТ 21
ПАЗАРДЖИК,СУ Георги Бенковски,22.0,42.89,22.0,20.59,25.0,52.72,25.0,28.87,23.0,"41,09",23.0,"27,59",24.0,"47,33",24.0,"31,04"
ПАЗАРДЖИК,СУ Георги Брегов,21.0,44.02,21.0,24.07,19.0,42.84,17.0,24.5,22.0,"29,18",22.0,"20,08",24.0,"38,21",24.0,"15,21"
ПАНАГЮРИЩЕ,ПГ ПО ИНДУСТРИАЛНИ ТЕХНОЛОГИИ МЕНИДЖМЪНТ И ТУРИЗЪМ,69.0,31.42,67.0,16.69,89.0,38.96,88.0,23.86,89.0,"31,13",87.0,"34,82",78.0,"31,32",79.0,"16,92"
ПАЗАРДЖИК,СУ Д-р Петър Берон,21.0,47.76,21.0,21.95,23.0,41.46,22.0,31.51,,,,,19.0,"32,58",18.0,"23,72"
БЕЛОВО,СУ АЛЕКСАНДЪР ИВАНОВ - ЧАПАЙ,40.0,46.15,40.0,30.65,29.0,44.38,29.0,21.34,36.0,"32,94",36.0,"40,92",35.0,"41,51",35.0,"26,97"
ПАЗАРДЖИК,ПРОФИЛИРАНА МАТЕМАТИЧЕСКА ГИМНАЗИЯ Константин Величков,126.0,64.84,125.0,54.05,122.0,64.77,122.0,55.79,130.0,"56,88",130.0,"56,82",121.0,"57,59",121.0,"38,4"
ВЕЛИНГРАД,Национална професионална гимназия по горско стопанство Христо Ботев,70.0,40.59,70.0,36.62,52.0,40.21,52.0,26.15,34.0,"33,29",34.0,"40,16",32.0,"31,72",32.0,"25,84"
БРЕЗНИК,СУ Васил Левски,31.0,51.4,31.0,47.92,22.0,44.95,22.0,28.72,23.0,"34,96",23.0,"29,93",24.0,"40,38",23.0,"23,87"
ЗЕМЕН,СУ Свeти Свети Кирил и Методий,7.0,41.86,7.0,21.14,13.0,27.58,13.0,17.65,7.0,37,6.0,"27,83",3.0,"14,67",3.0,"10,67"
ПЕРНИК,СУ Темелко Ненков,20.0,23.7,19.0,20.66,16.0,14.72,15.0,13.87,18.0,"12,78",18.0,"16,67",20.0,"10,15",19.0,"11,37"
ПЕРНИК,Пето СУ Петко Рачов Славейков,13.0,47.23,13.0,23.88,20.0,44.7,20.0,15.93,18.0,"32,39",18.0,"18,42",12.0,"32,92",11.0,14
ПЕРНИК,VI СУ Свети Свети Кирил и Методий,25.0,43.92,25.0,17.46,25.0,52.24,22.0,19.42,24.0,"26,54",23.0,16,17.0,"21,53",16.0,"11,5"
ПЕРНИК,СУ с разширено изучаване на чужди езици Д-р Петър Берон,24.0,60.56,20.0,23.95,23.0,69.17,16.0,25.36,50.0,"50,22",49.0,"26,55",43.0,"45,98",40.0,"18,85"
ПЕРНИК,Спортно училище Олимпиец,22.0,40.02,20.0,36.83,21.0,30.14,21.0,16.95,21.0,28,21.0,"17,74",21.0,"29,05",21.0,"15,19"
ПЕРНИК,Природоматематическа гимназия Христо Смирненски,103.0,67.83,102.0,45.5,99.0,70.82,96.0,46.61,78.0,"60,27",78.0,"51,84",79.0,"60,44",79.0,"25,33"
ПЕРНИК,Гимназия с преподаване на чужди езици Симеон Радев,155.0,63.95,152.0,28.31,153.0,61.38,148.0,29.43,154.0,"53,39",151.0,"30,74",135.0,"59,02",134.0,"26,72"
ПЕРНИК,ПГ по техника и енергетика Христо Ботев,94.0,37.37,89.0,19.71,67.0,31.99,67.0,17.3,61.0,"25,3",60.0,"19,17",37.0,"29,41",37.0,"17,92"
ПЕРНИК,ПГ по техника и строителство Арх Йордан Миланов,97.0,52.1,96.0,22.77,101.0,45.09,100.0,19.05,96.0,"39,49",96.0,"17,24",96.0,"39,21",94.0,"21,43"
ПЕРНИК,Технологична професионална гимназия Мария Кюри,34.0,36.93,29.0,35.67,32.0,35.88,28.0,18.59,20.0,30,20.0,"16,25",15.0,"30,6",16.0,"14,88"
ПЕРНИК,ПГ по икономика,103.0,54.17,97.0,28.85,103.0,57.85,102.0,26.9,101.0,"40,42",101.0,"16,59",103.0,"43,87",103.0,"21,18"
ПЕРНИК,ПГ по облекло и туризъм Свети Иван Рилски,15.0,38.17,15.0,18.2,31.0,33.97,31.0,16.52,40.0,"25,48",40.0,"18,31",40.0,"30,25",40.0,"14,63"
РАДОМИР,СУ Свети Свети Кирил и Методий,24.0,58.67,24.0,28.23,42.0,54.51,41.0,32.06,45.0,"46,02",44.0,"27,84",33.0,"43,58",32.0,"18,56"
РАДОМИР,Техническа професионална гимназия Никола Йонков Вапцаров,34.0,35.04,35.0,18.71,39.0,31.19,37.0,16.51,31.0,"24,55",31.0,"17,56",24.0,"24,83",23.0,"17,09"
РАДОМИР,ПГ по транспорт Юрий Гагарин,22.0,25.8,20.0,15.93,17.0,22.47,17.0,14.59,15.0,"24,13",15.0,"18,67",12.0,"26,42",12.0,12
ТРЪН,СУ Гео Милев,14.0,34.0,14.0,19.57,17.0,29.38,17.0,18.63,18.0,"24,78",18.0,"20,9",16.0,28,16.0,"13,13"
ПЛЕВЕН,ОУ Христо Ботев,13.0,34.58,12.0,37.0,9.0,27.44,10.0,32.8,6.0,29,7.0,"52,29",6.0,17,7.0,"39,43"
ПЛЕВЕН,ОУ Свети Свети Кирил и Методий,5.0,30.2,5.0,41.6,4.0,37.5,4.0,44.0,4.0,"26,25",6.0,"43,33",9.0,"7,11",9.0,"10,67"
ПЛЕВЕН,Математическа гимназия Гео Милев,128.0,69.21,128.0,63.72,126.0,70.05,126.0,69.42,137.0,"60,45",137.0,"59,78",153.0,"67,18",153.0,"54,5"
ПЛЕВЕН,Профилирана гимназия с преподаване на чужди езици Димитър Димов,179.0,60.84,179.0,31.38,182.0,64.44,182.0,33.19,177.0,"53,96",177.0,"28,89",174.0,"56,92",175.0,"24,17"
ПЛЕВЕН,СУ Анастасия Димитрова,4.0,23.0,4.0,7.0,13.0,38.69,13.0,19.58,7.0,"34,43",7.0,"22,79",15.0,"21,73",15.0,"15,6"
ПЛЕВЕН,СУ Стоян Заимов,32.0,47.42,32.0,19.88,41.0,56.62,41.0,17.64,41.0,"42,88",41.0,"21,92",48.0,"42,83",48.0,"17,96"
ПЛЕВЕН,СУ Иван Вазов,116.0,66.94,115.0,42.96,108.0,68.7,108.0,41.31,116.0,"56,8",116.0,"36,14",109.0,"54,01",109.0,"26,58"
ПЛЕВЕН,СУ Пейо Крачолов Яворов,16.0,32.63,15.0,16.2,9.0,42.5,9.0,19.56,16.0,"34,44",15.0,"20,3",13.0,"36,08",13.0,"17,54"
ПЛЕВЕН,СУ Христо Смирненски,15.0,23.93,15.0,38.8,11.0,32.68,12.0,39.0,12.0,"22,67",11.0,"17,16",14.0,"27,07",13.0,"14,62"
ПЛЕВЕН,СУ Христо Ботев,13.0,39.38,10.0,34.8,10.0,27.55,9.0,17.78,15.0,"26,53",17.0,"13,41",11.0,"23,36",10.0,"16,4"
ПЛЕВЕН,Спортно училище Георги Бенковски,44.0,40.74,43.0,15.22,51.0,28.07,47.0,20.69,55.0,"25,42",52.0,"19,26",39.0,"35,46",39.0,"14,21"
ПЛЕВЕН,Държавна финансово-стопанска гимназия Интелект,91.0,52.2,89.0,24.07,109.0,51.16,109.0,22.47,91.0,"42,56",91.0,"17,96",86.0,"43,63",86.0,"20,69"
ПЛЕВЕН,ПГ по механоелектротехника,42.0,39.13,42.0,21.36,50.0,35.97,50.0,19.01,35.0,"29,69",34.0,"18,71",19.0,"31,21",19.0,"14,89"
ПЛЕВЕН,ПГ по хранително-вкусови технологии Луи Пастьор,18.0,25.36,16.0,19.75,18.0,27.36,18.0,22.67,20.0,"17,95",21.0,"19,81",34.0,"26,82",29.0,"15,66"
ПЛЕВЕН,ПГ по мениджмънт и хранителни технологии,17.0,15.53,14.0,27.14,14.0,19.71,15.0,29.62,11.0,10,11.0,"14,18",15.0,"17,2",15.0,"12,27"
ПЛЕВЕН,ПГ по строителство архитектура и геодезия Никола Фичев,12.0,42.29,12.0,17.42,26.0,42.21,26.0,18.2,19.0,"32,47",19.0,"20,5",22.0,38,22.0,"18,27"
ПЛЕВЕН,ПГ по транспорт Проф Цветан Лазаров,40.0,31.28,39.0,17.24,39.0,33.82,39.0,17.35,41.0,"25,71",41.0,"20,29",43.0,"27,19",43.0,"17,53"
ПЛЕВЕН,ПГ по лозарство и винарство Александър Стамболийски,15.0,28.87,15.0,16.57,18.0,21.53,18.0,16.9,11.0,"18,27",11.0,"18,55",11.0,"15,27",12.0,14
ПЛЕВЕН,ПГ по облекло и текстил Христо Бояджиев,19.0,27.03,19.0,52.29,32.0,21.67,30.0,28.53,29.0,"17,76",28.0,"27,86",13.0,"13,62",13.0,"9,23"
ПЛЕВЕН,ПГ по електроника и химични технологии Проф Асен Златаров,79.0,51.66,78.0,23.71,100.0,52.13,100.0,22.33,77.0,"40,71",77.0,"16,8",89.0,"43,89",89.0,"19,69"
ПЛЕВЕН,ПГ по ресторантьорство търговия и обслужване,33.0,31.56,33.0,18.23,37.0,36.61,38.0,15.52,39.0,"30,03",39.0,"21,37",37.0,"33,22",37.0,"17,46"
ПЛЕВЕН,ПГ по подемна строителна и транспортна техника Г С Раковски,24.0,20.08,24.0,15.48,13.0,19.31,15.0,17.6,14.0,"19,21",14.0,"18,02",25.0,"13,84",24.0,"13,92"
ПЛЕВЕН,ПГ Захарий Зограф,11.0,10.0,11.0,8.05,16.0,6.56,14.0,10.86,13.0,"10,92",14.0,"16,57",5.0,"13,8",5.0,"12,4"
ПЛЕВЕН,ПГ по туризъм Алеко Константинов,102.0,52.8,101.0,23.68,94.0,49.05,94.0,19.93,74.0,"39,49",73.0,"20,18",87.0,"43,84",87.0,"17,07"
ЧЕРВЕН БРЯГ,ОУ Отец Паисий,8.0,8.25,8.0,17.5,12.0,20.63,12.0,16.38,11.0,"26,91",11.0,"37,09",11.0,"22,27",11.0,"38,91"
ЧЕРВЕН БРЯГ,СУ Д-р Петър Берон,42.0,61.44,42.0,55.96,40.0,48.5,40.0,33.42,48.0,"50,79",48.0,"47,69",37.0,"44,19",37.0,"19,59"
ЧЕРВЕН БРЯГ,СУ Христо Смирненски,26.0,30.85,26.0,37.83,17.0,32.26,17.0,40.18,20.0,"27,35",20.0,"19,04",17.0,"28,12",17.0,"20,47"
ЧЕРВЕН БРЯГ,ПГ по хранителни технологии Юрий Гагарин,19.0,35.82,20.0,35.2,23.0,38.5,23.0,40.0,27.0,"28,11",27.0,"39,87",28.0,"27,75",28.0,"25,71"
ЧЕРВЕН БРЯГ,ПГ по механоелектротехника Девети май,27.0,27.65,27.0,17.07,34.0,25.72,33.0,19.45,36.0,"29,92",35.0,"35,17",41.0,"32,12",41.0,"18,59"
ЧЕРВЕН БРЯГ,Търговска гимназия Васил Евстатиев Априлов,24.0,44.5,23.0,26.11,11.0,39.09,11.0,17.93,26.0,"42,19",26.0,"23,25",15.0,"38,2",15.0,"18,67"
ЧЕРВЕН БРЯГ,ПГ по земеделско стопанство Александър Стамболийски,13.0,32.69,13.0,36.62,10.0,30.65,8.0,35.5,5.0,"16,6",5.0,"18,4",14.0,"23,57",14.0,"16,57"
ПОРДИМ,ОУ Никола Йонков Вапцаров,3.0,30.0,3.0,28.0,6.0,25.75,6.0,40.0,8.0,"16,38",7.0,"22,29",10.0,"20,4",10.0,24
ПОРДИМ,СУ Свети Свети Кирил и Методий,30.0,39.58,29.0,42.22,21.0,29.17,20.0,39.48,20.0,"29,95",20.0,"48,2",34.0,"24,88",34.0,"14,94"
ИСКЪР,СУ Христо Смирненски,11.0,22.86,11.0,23.36,13.0,30.54,13.0,14.46,27.0,"23,78",27.0,"34,11",18.0,"20,61",18.0,"21,11"
ДОЛНИ ДЪБНИК,СУ Христо Ботев,14.0,39.89,14.0,22.43,9.0,53.78,9.0,50.97,13.0,"21,77",13.0,"28,37",17.0,"27,82",17.0,"17,53"
ДОЛНИ ДЪБНИК,ПГ по селско стопанство Професор Иван Иванов,23.0,17.43,22.0,13.11,17.0,16.12,16.0,17.25,21.0,"17,95",21.0,"18,1",22.0,"14,86",22.0,"11,09"
ЛЕВСКИ,СУ Крум Попов,33.0,31.35,33.0,16.82,40.0,39.14,40.0,19.51,34.0,"28,76",35.0,"19,92",49.0,"35,53",49.0,"16,12"
ЛЕВСКИ,ПГ по селско стопанство и транспорт Никола Йонков Вапцаров,16.0,26.34,14.0,16.57,35.0,21.43,34.0,14.0,21.0,"20,86",22.0,"17,36",17.0,"29,59",18.0,"14,44"
БЕЛЕНЕ,СУ Димчо Дебелянов,23.0,57.11,23.0,35.5,37.0,48.7,37.0,34.47,31.0,"42,84",31.0,"24,81",37.0,"49,84",37.0,"28,62"
БЕЛЕНЕ,ПГ по ядрена енергетика Мария Склодовска - Кюри,9.0,39.11,9.0,18.44,7.0,41.07,7.0,18.32,11.0,25,11.0,"12,5",7.0,22,7.0,"15,43"
ГУЛЯНЦИ,СУ Христо Смирненски,34.0,34.72,32.0,40.91,30.0,33.97,28.0,38.85,40.0,"28,6",40.0,"40,33",46.0,"36,74",46.0,"36,87"
ГУЛЯНЦИ,СУ Асен Златаров,16.0,29.66,13.0,42.81,12.0,44.08,11.0,37.7,15.0,"41,93",15.0,"30,87",14.0,"23,64",14.0,"35,71"
ДОЛНА МИТРОПОЛИЯ,СУ Васил Априлов,12.0,31.71,12.0,41.54,16.0,44.66,15.0,24.3,13.0,"32,31",12.0,"24,56",19.0,"28,79",18.0,"23,44"
ДОЛНА МИТРОПОЛИЯ,СУ Евлоги Георгиев,27.0,37.11,26.0,16.79,25.0,30.52,25.0,16.44,18.0,"29,28",18.0,"18,57",32.0,"27,69",29.0,"14,52"
ДОЛНА МИТРОПОЛИЯ,Възпитателно училище интернат Христо Ботев,1.0,9.0,1.0,4.0,1.0,15.0,1.0,12.0,3.0,"34,67",3.0,"17,33",1.0,76,1.0,44
НИКОПОЛ,СУ Христо Ботев,16.0,37.63,16.0,29.31,17.0,31.38,17.0,25.03,27.0,"27,63",27.0,"26,04",22.0,"38,77",22.0,"24,59"
КНЕЖА,СУ Неофит Рилски,9.0,29.72,9.0,17.89,15.0,17.23,14.0,15.14,13.0,"22,69",13.0,"23,23",,,,
КНЕЖА,ПГ по земеделие Стефан Цанов,75.0,33.04,72.0,18.97,78.0,34.76,78.0,19.05,82.0,"24,48",81.0,"18,38",67.0,"27,79",64.0,"16,84"
КНЕЖА,ПГ по механоелектротехника Христо Смирненски,24.0,14.48,23.0,14.26,19.0,30.71,22.0,36.0,28.0,"12,64",29.0,"15,31",48.0,"24,42",45.0,"18,93"
ПЛОВДИВ,Частно средно бизнес училище Талантите,13.0,42.27,13.0,21.85,6.0,49.92,6.0,37.17,,,,,,,,
ПЛОВДИВ,Частна професионална гимназия по информатика и компютърни науки Академик Благовест Сендов,19.0,52.61,18.0,28.58,12.0,50.46,12.0,31.48,,,,,,,,
АСЕНОВГРАД,СУ Свети княз Борис I,76.0,56.53,75.0,39.05,74.0,60.62,74.0,38.76,77.0,"45,81",77.0,"38,9",76.0,"50,28",76.0,"28,37"
АСЕНОВГРАД,СУ Свети свети Кирил и Методий,100.0,49.39,99.0,29.77,103.0,50.66,102.0,29.97,102.0,"44,84",102.0,"26,28",96.0,"42,8",95.0,"25,21"
АСЕНОВГРАД,ПГ Свети Патриарх Евтимий,35.0,14.53,33.0,14.45,42.0,13.07,41.0,13.07,37.0,"12,16",35.0,"17,34",36.0,"15,39",36.0,"12,22"
АСЕНОВГРАД,ПГ по Хранително-вкусови технологии Св Димитрий Солунски,48.0,30.15,45.0,16.92,40.0,25.53,39.0,13.67,23.0,"21,3",23.0,"17,33",36.0,"19,22",36.0,"15,33"
АСЕНОВГРАД,ПГ Цар Иван Асен II,98.0,34.32,95.0,18.09,88.0,34.1,86.0,17.75,81.0,"31,05",81.0,"20,17",91.0,"29,63",91.0,"16,95"
КАРЛОВО,ПГ по икономика Тодор Генчов Влайков,29.0,17.05,29.0,15.88,22.0,19.39,20.0,16.6,24.0,"16,46",26.0,"17,77",27.0,"18,15",27.0,"12,78"
БРЕЗОВО,СУ Христо Смирненски,8.0,37.38,8.0,16.25,12.0,39.08,12.0,19.33,6.0,"25,33",6.0,"19,33",9.0,"46,89",9.0,23
БРЕЗОВО,ПГ Златю Бояджиев гр Брезово,37.0,19.38,26.0,13.71,28.0,18.86,8.0,17.0,18.0,"17,17",16.0,"14,5",28.0,"14,71",25.0,12
КУКЛЕН,СУ Отец Паисий,22.0,44.2,18.0,19.78,19.0,43.97,18.0,29.17,,,,,,,,
КУКЛЕН,ПГ по селско стопанство,21.0,17.29,20.0,18.45,25.0,14.24,27.0,15.59,35.0,"14,44",31.0,"17,18",23.0,"15,22",21.0,"12,9"
КАЛОЯНОВО,ОУ Христо Ботев,8.0,24.75,8.0,29.06,8.0,20.06,8.0,14.0,12.0,"17,92",12.0,"35,67",9.0,"17,33",9.0,"13,78"
КАРЛОВО,СУ Васил Левски,76.0,60.28,76.0,30.95,73.0,66.41,73.0,46.55,77.0,"59,45",77.0,"42,89",76.0,"63,07",76.0,"25,28"
КАРЛОВО,СУ Христо Проданов,73.0,45.1,73.0,22.15,54.0,49.33,54.0,32.51,68.0,"41,07",67.0,"23,26",79.0,"42,53",79.0,"19,34"
СОПОТ,СУ Иван Вазов,11.0,23.86,11.0,14.18,7.0,25.21,7.0,13.71,16.0,"24,63",16.0,"18,27",19.0,"31,63",18.0,"14,39"
КАРЛОВО,ПГ по железопътен транспорт Христо Смирненски,58.0,26.75,55.0,16.91,62.0,23.58,59.0,13.56,48.0,"17,56",47.0,"17,49",54.0,"24,31",53.0,"15,28"
СОПОТ,ПГ Генерал Владимир Заимов,148.0,47.8,148.0,21.69,137.0,43.68,134.0,21.43,151.0,"37,99",148.0,"21,15",120.0,"42,57",119.0,"18,19"
КАРЛОВО,ПГ Братя Евлогий и Христо Георгиеви,44.0,17.97,37.0,16.26,37.0,17.5,35.0,13.19,44.0,"14,16",46.0,"16,63",41.0,"16,24",40.0,"14,43"
КРИЧИМ,СУ Петко Рачов Славейков,20.0,17.9,18.0,14.28,34.0,22.79,33.0,18.61,19.0,"15,74",18.0,"18,79",28.0,"18,04",29.0,"12,72"
ЛЪКИ,СУ Христо Ботев,7.0,57.36,7.0,15.79,6.0,51.42,6.0,25.83,4.0,35,4.0,"24,25",,,,
МАРИЦА,СУ Васил Левски,16.0,29.41,16.0,23.03,8.0,23.56,7.0,18.86,17.0,"15,65",16.0,"17,75",8.0,"30,38",8.0,14
МАРИЦА,СУ Свети свети Кирил и Методий,8.0,17.69,9.0,14.67,12.0,13.83,11.0,16.0,11.0,"14,09",11.0,"18,18",9.0,"16,78",8.0,"17,75"
ПЪРВОМАЙ,СУ Проф д-р Асен Златаров,70.0,48.2,70.0,29.59,65.0,48.84,65.0,26.08,55.0,"41,96",55.0,"25,34",59.0,"45,15",58.0,"18,1"
ПЪРВОМАЙ,ПГ по селско стопанство Васил Левски,57.0,30.69,55.0,15.83,47.0,25.5,46.0,15.86,66.0,"26,36",67.0,"15,69",65.0,"31,94",66.0,"16,8"
ПЕРУЩИЦА,ПГ по лозарство и винарство Христо Ботев,30.0,16.52,23.0,15.65,40.0,18.14,41.0,17.27,42.0,"15,02",41.0,"22,44",31.0,"19,39",31.0,"15,13"
РАКОВСКИ,ПГ по селско стопанство,24.0,19.13,9.0,14.67,25.0,23.26,22.0,17.27,30.0,"12,5",28.0,"14,58",39.0,"16,62",41.0,"11,02"
РАКОВСКИ,ПГ Петър Парчевич,75.0,20.35,65.0,28.25,63.0,18.94,63.0,14.74,60.0,"18,23",58.0,"17,23",52.0,"20,75",54.0,"14,48"
САДОВО,Професионална селскостопанска гимназия Димитър Наумов,43.0,19.03,41.0,18.33,50.0,21.96,45.0,15.89,50.0,"13,2",50.0,"17,21",43.0,"17,23",41.0,"14,15"
СТАМБОЛИЙСКИ,ОУ Христо Ботев гр Стамболийски,8.0,16.38,8.0,16.56,,,,,,,,,,,,
СТАМБОЛИЙСКИ,СУ Отец Паисий,23.0,23.22,21.0,14.48,18.0,25.58,18.0,14.85,20.0,"26,7",20.0,"22,25",20.0,"17,35",22.0,"12,64"
СЪЕДИНЕНИЕ,СУ Христо Ботев,20.0,35.0,20.0,16.65,21.0,27.52,19.0,19.01,15.0,"26,07",15.0,"18,47",19.0,"17,32",18.0,"13,56"
ХИСАРЯ,ОУ Христо Ботев,10.0,19.1,8.0,13.0,7.0,27.14,6.0,16.0,7.0,"17,71",6.0,"18,67",8.0,"14,25",8.0,13
ХИСАРЯ,СУ Христо Смирненски,40.0,33.3,39.0,18.14,33.0,34.15,33.0,16.46,49.0,"32,37",39.0,"19,27",28.0,"32,82",26.0,"16,15"
ПЛОВДИВ,СУ Любен Каравелов,42.0,54.58,42.0,20.06,42.0,54.08,41.0,20.56,39.0,"37,79",38.0,"20,89",26.0,"50,27",25.0,"20,12"
ПЛОВДИВ,Хуманитарна гимназия Св Св Кирил и Методий,179.0,68.22,84.0,40.32,168.0,68.65,90.0,41.25,176.0,"64,96",151.0,"38,36",178.0,"66,53",175.0,"23,83"
ПЛОВДИВ,СУ СВ ПАИСИЙ ХИЛЕНДАРСКИ,78.0,55.33,78.0,27.57,77.0,56.3,77.0,24.01,73.0,"44,9",73.0,"19,4",103.0,"46,76",101.0,"19,97"
ПЛОВДИВ,СУ Свети Климент Охридски,55.0,52.14,54.0,21.24,56.0,51.73,56.0,25.24,47.0,"47,53",47.0,"22,43",49.0,"48,86",49.0,"19,71"
ПЛОВДИВ,СУ Свети Патриарх Евтимий,104.0,62.03,89.0,28.4,99.0,64.56,93.0,31.59,121.0,"58,74",120.0,"31,65",124.0,"56,45",124.0,"23,87"
ПЛОВДИВ,СУ Цар Симеон Велики,45.0,47.22,37.0,17.97,48.0,41.67,48.0,16.68,21.0,"45,05",21.0,"18,31",23.0,"41,65",22.0,20
ПЛОВДИВ,ПГ по електротехника и електроника,203.0,56.09,197.0,36.24,222.0,55.95,213.0,38.07,229.0,"49,71",220.0,"31,99",209.0,"50,85",210.0,"25,49"
ПЛОВДИВ,Национална търговска гимназия - Пловдив,174.0,64.56,150.0,40.61,177.0,67.28,169.0,55.54,159.0,"60,52",153.0,"52,62",178.0,"66,98",175.0,"32,31"
ПЛОВДИВ,ПГ по облекло Ана Май,96.0,36.83,95.0,16.48,83.0,31.17,80.0,17.66,72.0,"30,53",72.0,"18,41",62.0,"28,94",63.0,"13,19"
ПЛОВДИВ,ПГ по вътрешна архитектура и дървообработване Христо Ботев,105.0,44.77,104.0,18.67,101.0,41.02,101.0,22.52,97.0,"35,12",96.0,"18,67",65.0,"39,74",63.0,"17,7"
ПЛОВДИВ,ПГ по туризъм Проф д-р Асен Златаров,151.0,48.92,147.0,19.49,154.0,48.32,152.0,17.97,148.0,"45,47",144.0,"22,57",146.0,"43,62",145.0,"18,51"
ПЛОВДИВ,ПГ по битова техника,116.0,44.26,107.0,21.93,120.0,41.3,112.0,20.53,122.0,"37,7",120.0,"17,12",107.0,"38,94",105.0,"18,26"
ПЛОВДИВ,ДУ-Пловдивска духовна семинария Св Св Кирил и Методий -Пловдив,3.0,55.5,3.0,27.33,6.0,32.17,4.0,12.0,12.0,27,6.0,"17,33",4.0,"41,75",4.0,"15,25"
ПЛОВДИВ,ОУ Пенчо Славейков,22.0,8.68,22.0,14.0,34.0,6.76,34.0,17.76,,,,,,,,
ПЛОВДИВ,СУ Найден Геров,45.0,8.43,44.0,17.55,76.0,8.35,73.0,15.57,72.0,"8,39",75.0,"18,88",88.0,"9,85",90.0,"12,2"
ПЛОВДИВ,СУ Симон Боливар,13.0,24.23,13.0,33.96,,,,,,,,,,,,
ПЛОВДИВ,Специално училище за ученици с увреден слух Проф Д-р Ст Белинов,,,,,,,,,,,,,4.0,"4,5",3.0,"14,67"
ПЛОВДИВ,ПГ по архитектура строителство и геодезия Арх Камен Петков,196.0,51.35,186.0,28.55,201.0,52.59,200.0,30.15,202.0,"46,81",195.0,"28,67",194.0,"49,24",189.0,"23,64"
ПЛОВДИВ,ПГ по транспорт и строителни технологии Гоце Делчев,77.0,25.3,68.0,16.38,90.0,24.95,86.0,17.31,79.0,"19,61",74.0,"17,8",86.0,"21,06",84.0,"12,98"
ПЛОВДИВ,СУ Свети свети Кирил и Методий,72.0,50.18,70.0,20.22,46.0,50.96,45.0,18.43,47.0,"37,77",47.0,"20,33",46.0,"47,04",45.0,"17,89"
ПЛОВДИВ,Математическа гимназия Академик Кирил Попов,210.0,71.8,210.0,86.6,203.0,75.28,203.0,81.1,208.0,"69,26",207.0,"83,65",210.0,"71,26",209.0,"69,26"
ПЛОВДИВ,Спортно училище Васил Левски,81.0,38.61,67.0,18.6,73.0,38.83,59.0,20.24,64.0,"34,38",54.0,"12,2",81.0,"37,78",81.0,"17,86"
ПЛОВДИВ,ОУ Йордан Йовков,8.0,11.75,8.0,13.5,12.0,17.5,12.0,18.33,11.0,"15,45",11.0,"19,64",14.0,"12,07",13.0,"11,69"
ПЛОВДИВ,СУ Никола Вапцаров,42.0,37.93,31.0,17.65,15.0,37.37,10.0,16.0,35.0,"31,06",33.0,"19,74",10.0,"36,2",8.0,"14,5"
ПЛОВДИВ,СУ Пейо Крачолов Яворов,48.0,48.85,37.0,22.58,38.0,47.49,29.0,21.29,47.0,"40,91",47.0,"22,56",48.0,"39,21",47.0,"17,4"
ПЛОВДИВ,СУ Христо Груев Данов,43.0,44.15,32.0,24.75,22.0,37.09,22.0,18.1,21.0,"36,76",21.0,"16,57",22.0,"42,32",22.0,"18,14"
ПЛОВДИВ,Езикова гимназия Пловдив,261.0,69.5,257.0,74.66,254.0,75.51,248.0,78.62,260.0,"69,92",257.0,"77,81",259.0,"74,42",250.0,"56,51"
ПЛОВДИВ,Езикова гимназия Иван Вазов,234.0,70.46,176.0,54.84,214.0,71.8,179.0,63.03,216.0,"66,2",214.0,"70,93",231.0,"68,01",222.0,"44,18"
ПЛОВДИВ,Френска езикова гимназия Антоан дьо Сент - Екзюпери,199.0,60.82,195.0,27.04,198.0,62.82,175.0,28.8,204.0,"57,6",194.0,"21,83",98.0,"55,22",59.0,"20,1"
ПЛОВДИВ,ПГ по хранителни технологии и техника,173.0,40.95,170.0,19.43,169.0,41.9,166.0,20.61,165.0,"35,77",164.0,"17,35",111.0,"39,1",109.0,"17,72"
ПЛОВДИВ,ПГ по кожени изделия и текстил Д-р Иван Богоров,25.0,20.52,25.0,24.02,23.0,22.11,23.0,16.4,25.0,"21,08",27.0,"18,22",17.0,"17,71",15.0,"10,13"
ПЛОВДИВ,СУ Братя Миладинови,21.0,34.45,18.0,20.61,16.0,29.5,14.0,17.18,17.0,"23,06",15.0,"19,22",14.0,"19,64",13.0,"16,69"
ПЛОВДИВ,СУ Константин Величков,25.0,35.96,24.0,18.98,25.0,39.4,25.0,21.07,19.0,"39,42",18.0,"14,08",17.0,"34,24",17.0,"18,59"
ПЛОВДИВ,СУ Свети Константин - Кирил Философ,52.0,44.11,48.0,22.48,40.0,39.98,40.0,20.18,47.0,"44,66",44.0,"28,07",22.0,"38,86",22.0,"17,82"
ПЛОВДИВ,ПГ по механотехника Професор Цветан Лазаров,142.0,33.76,136.0,18.52,141.0,38.28,137.0,20.32,121.0,"34,34",117.0,"19,51",90.0,"33,91",88.0,"18,38"
ПЛОВДИВ,ПГ по машиностроене,40.0,24.35,31.0,17.58,21.0,18.69,20.0,17.2,19.0,"14,79",20.0,17,20.0,"16,35",19.0,"13,58"
