;брой;брой;брой;брой;брой;брой;брой;брой;
;2021;2021;2021;2021;2021;2021;2021;2021;
;Общо;Български;Турски;Ромски;Друг;Не мога да определя;Не желая да отговоря;Непоказан;
PAZ04 Белово;7324;6428;3;67;33;-;11;782;
PAZ06 Брацигово;7355;6150;342;238;42;7;53;523;
PAZ08 Велинград;32951;27086;83;1481;160;36;162;3943;
PAZ14 Лесичово;4695;3260;369;725;14;5;4;318;
PAZ19 Пазарджик;91368;72026;1787;3972;505;303;681;12094;
PAZ20 Панагюрище;22084;20417;22;384;63;14;128;1056;
PAZ21 Пещера;14742;10301;1815;627;57;31;145;1766;
PAZ24 Ракитово;13490;9861;14;2352;29;3;102;1129;
PAZ29 Септември;21795;16322;777;2918;88;52;23;1615;
PAZ32 Стрелча;4409;3807;3;252;7;-;15;325;
PAZ39 Сърница;4732;4571;9;-;4;1;9;138;
PDV Пловдив;634497;498281;39581;26113;5180;965;6088;58289;
PDV01 Асеновград;57601;38132;13074;846;140;97;672;4640;
PDV07 Брезово;6170;4956;46;702;41;14;17;394;
PDV12 Калояново;10598;9390;366;232;33;16;37;524;
PDV13 Карлово;46784;34782;2506;5595;301;205;454;2941;
PDV39 Кричим;7245;4024;2223;326;24;12;186;450;
PDV42 Куклен;6276;3455;1804;556;19;5;75;362;
PDV15 Лъки;2220;2074;5;-;4;2;10;125;
PDV17 Марица;32154;26483;1155;2141;134;40;608;1593;
PDV40 Перущица;4298;2995;6;871;17;5;9;395;
PDV22 Пловдив;319612;256127;13587;4572;3878;381;3209;37858;
PDV23 Първомай;21807;16050;1913;2161;71;31;83;1498;
PDV25 Раковски;25893;21603;271;2548;66;15;61;1329;
PDV26 Родопи;32689;27458;1828;1125;220;49;239;1770;
PDV28 Садово;14766;12193;375;1144;34;30;185;805;
PDV43 Сопот;8375;7216;176;94;54;6;36;793;
PDV41 Стамболийски;18107;14012;92;2257;70;31;118;1527;
PDV33 Съединение;9310;8005;79;690;22;20;35;459;
PDV37 Хисаря;10592;9326;75;253;52;6;54;826;
SML Смолян;96284;90526;3373;443;321;85;731;805;
SML02 Баните;3302;3235;20;20;7;1;8;11;
SML05 Борино;2493;926;1496;1;-;6;43;21;
SML09 Девин;9765;7839;1533;4;32;9;266;82;
SML10 Доспат;7510;7344;14;20;20;3;65;44;
SML11 Златоград;9768;9545;14;-;32;32;64;81;
SML16 Мадан;10062;9738;179;-;42;7;36;60;
SML18 Неделино;5079;4991;3;-;3;5;9;68;
SML27 Рудозем;8674;8564;15;-;15;-;32;48;
SML31 Смолян;33688;32494;95;393;153;20;180;353;
SML38 Чепеларе;5943;5850;4;5;17;2;28;37;
HKV Хасково;211565;150186;25424;12198;1831;313;1450;20163;
HKV09 Димитровград;44632;36443;700;2502;257;65;358;4307;
HKV11 Ивайловград;5161;3924;705;149;9;-;104;270;
HKV17 Любимец;8940;6947;180;1228;23;12;11;539;
HKV18 Маджарово;1484;677;528;92;2;6;4;175;
HKV19 Минерални бани;5520;2013;2742;254;13;19;37;442;
HKV28 Свиленград;20764;16751;489;1485;274;12;145;1608;
HKV29 Симеоновград;7700;5752;30;734;27;34;28;1095;
HKV30 Стамболово;5458;982;3632;300;12;10;39;483;
HKV32 Тополовград;8941;7318;37;728;75;2;37;744;
HKV33 Харманли;21623;14677;2310;1445;766;36;89;2300;
HKV34 Хасково;81342;54702;14071;3281;373;117;598;8200;
