;брой;брой;брой;брой;брой;брой;брой;брой;брой;брой;брой;брой;брой;брой;брой;
;Общо;Общо;Общо;Работна сила;Работна сила;Работна сила;Заети;Заети;Заети;Безработни;Безработни;Безработни;Лица извън работната сила;Лица извън работната сила;Лица извън работната сила;
;Общо;Мъже;Жени;Общо;Мъже;Жени;Общо;Мъже;Жени;Общо;Мъже;Жени;Общо;Мъже;Жени;
Трън;3093;1523;1570;1299;702;597;822;417;405;477;285;192;1794;821;973;
София;199275;96549;102726;103940;54457;49483;94934;49595;45339;9006;4862;4144;95335;42092;53243;
Антон;1284;636;648;633;340;293;576;314;262;57;26;31;651;296;355;
Божурище;8104;3880;4224;4666;2356;2310;4407;2217;2190;259;139;120;3438;1524;1914;
Ботевград;26460;12636;13824;13823;7010;6813;12372;6232;6140;1451;778;673;12637;5626;7011;
Годеч;4465;2207;2258;2090;1116;974;1953;1041;912;137;75;62;2375;1091;1284;
Горна Малина;5383;2720;2663;2811;1561;1250;2664;1478;1186;147;83;64;2572;1159;1413;
Долна баня;3473;1670;1803;1905;999;906;1329;718;611;576;281;295;1568;671;897;
Драгоман;4169;2026;2143;1815;955;860;1741;911;830;74;44;30;2354;1071;1283;
Елин Пелин;19697;9552;10145;11015;5732;5283;10468;5439;5029;547;293;254;8682;3820;4862;
Етрополе;9427;4579;4848;5076;2611;2465;4481;2278;2203;595;333;262;4351;1968;2383;
Златица;4344;2115;2229;2287;1217;1070;2160;1154;1006;127;63;64;2057;898;1159;
Ихтиман;14043;6936;7107;6157;3470;2687;5809;3292;2517;348;178;170;7886;3466;4420;
Копривщица;1777;877;900;808;428;380;763;404;359;45;24;21;969;449;520;
Костенец;9780;4713;5067;5393;2889;2504;4642;2470;2172;751;419;332;4387;1824;2563;
Костинброд;15487;7449;8038;8994;4630;4364;8470;4324;4146;524;306;218;6493;2819;3674;
Мирково;2060;1027;1033;894;500;394;866;490;376;28;10;18;1166;527;639;
Пирдоп;6345;3032;3313;3631;1914;1717;3369;1797;1572;262;117;145;2714;1118;1596;
Правец;5824;2901;2923;2651;1395;1256;2300;1196;1104;351;199;152;3173;1506;1667;
Самоков;29628;14116;15512;14672;7652;7020;12847;6664;6183;1825;988;837;14956;6464;8492;
Своге;17418;8559;8859;8924;4710;4214;8497;4451;4046;427;259;168;8494;3849;4645;
Сливница;7844;3815;4029;4493;2347;2146;4169;2175;1994;324;172;152;3351;1468;1883;
Чавдар;1011;506;505;507;271;236;416;224;192;91;47;44;504;235;269;
Челопеч;1252;597;655;695;354;341;635;326;309;60;28;32;557;243;314;
София (столица);1087995;510040;577955;693438;346433;347005;662194;329648;332546;31244;16785;14459;394557;163607;230950;
Столична;1087995;510040;577955;693438;346433;347005;662194;329648;332546;31244;16785;14459;394557;163607;230950;
Южен централен;1130317;537898;592419;569527;295867;273660;508433;262793;245640;61094;33074;28020;560790;242031;318759;
Кърджали;123555;60318;63237;48861;26180;22681;42284;22436;19848;6577;3744;2833;74694;34138;40556;
Ардино;10447;5209;5238;3444;1894;1550;2754;1472;1282;690;422;268;7003;3315;3688;
Джебел;7492;3726;3766;2385;1332;1053;2103;1160;943;282;172;110;5107;2394;2713;
Кирково;18378;9128;9250;5673;3097;2576;4540;2456;2084;1133;641;492;12705;6031;6674;
Крумовград;14651;7356;7295;5473;3121;2352;4396;2473;1923;1077;648;429;9178;4235;4943;
Кърджали;52884;25119;27765;24514;12610;11904;22215;11380;10835;2299;1230;1069;28370;12509;15861;
Момчилград;12780;6382;6398;4752;2646;2106;4299;2404;1895;453;242;211;8028;3736;4292;
Черноочене;6923;3398;3525;2620;1480;1140;1977;1091;886;643;389;254;4303;1918;2385;
