;2021;2021;2021;2021;2021;2021;2021;2021;2021;
;брой;брой;брой;брой;брой;брой;брой;брой;брой;
;Общо;Много добро;Добро;Задоволително;Лошо;Много лошо;Не мога да определя;Не желая да отговоря;Непоказано;
Момчилград;14353;1971;7114;2197;593;176;64;384;1854;
Черноочене;7775;1827;3733;1310;325;57;60;83;380;
Пазарджик;229814;49661;99199;39027;8142;1561;2298;6024;23902;
Батак;4869;1378;2302;684;108;6;113;65;213;
Белово;7324;1022;3849;1148;293;65;54;111;782;
Брацигово;7355;1376;3471;1459;299;61;36;130;523;
Велинград;32951;7860;14179;4692;861;132;236;1048;3943;
Лесичово;4695;950;2316;761;265;49;11;25;318;
Пазарджик;91368;17751;37867;15783;3554;682;976;2661;12094;
Панагюрище;22084;5016;9211;4691;880;223;325;682;1056;
Пещера;14742;3112;6235;2516;481;89;172;371;1766;
Ракитово;13490;4100;5568;1819;262;42;78;492;1129;
Септември;21795;5068;9683;3835;889;168;225;312;1615;
Стрелча;4409;712;2249;798;156;26;31;112;325;
Сърница;4732;1316;2269;841;94;18;41;15;138;
Пловдив;634497;161287;261303;100762;19602;4186;6886;22182;58289;
Асеновград;57601;12960;26356;9267;1881;387;553;1557;4640;
Брезово;6170;1197;2564;1371;395;59;82;108;394;
Калояново;10598;2615;4356;2233;550;90;67;163;524;
Карлово;46784;10962;21454;7928;1578;273;498;1150;2941;
Кричим;7245;2752;2711;996;151;32;65;88;450;
Куклен;6276;1088;3368;1051;217;44;26;120;362;
Лъки;2220;401;867;558;121;71;17;60;125;
Марица;32154;7659;14428;4921;1086;230;240;1997;1593;
Перущица;4298;1311;1589;727;126;28;30;92;395;
Пловдив;319612;85086;121521;47471;8314;1961;3968;13433;37858;
Първомай;21807;5885;8984;4024;755;123;198;340;1498;
Раковски;25893;6636;11818;4079;929;208;173;721;1329;
Родопи;32689;8845;13981;5558;1123;208;294;910;1770;
Садово;14766;4005;6505;2329;547;88;144;343;805;
Сопот;8375;1553;3657;1694;325;63;82;208;793;
Стамболийски;18107;4533;7592;3018;600;142;146;549;1527;
Съединение;9310;1985;4314;1831;449;95;73;104;459;
Хисаря;10592;1814;5238;1706;455;84;230;239;826;
Смолян;96284;20128;49076;19546;3671;593;766;1699;805;
Баните;3302;317;1869;850;184;22;28;21;11;
Борино;2493;419;1532;359;78;20;13;51;21;
Девин;9765;1749;5237;1915;426;60;78;218;82;
Доспат;7510;1039;4669;1369;212;29;43;105;44;
Златоград;9768;2009;5072;1941;421;75;54;115;81;
Мадан;10062;2150;5042;2123;426;69;60;132;60;
Неделино;5079;933;2582;1144;254;23;46;29;68;
Рудозем;8674;2155;4139;1781;313;45;68;125;48;
Смолян;33688;7837;16224;6828;1147;193;329;777;353;
Чепеларе;5943;1520;2710;1236;210;57;47;126;37;
Хасково;211565;47376;94264;35394;6309;1230;2026;4803;20163;
Димитровград;44632;10255;18129;8506;1402;296;456;1281;4307;
Ивайловград;5161;720;2609;977;266;62;79;178;270;
Любимец;8940;4141;2614;1196;217;47;61;125;539;
Маджарово;1484;311;592;338;39;6;11;12;175;
Минерални бани;5520;1216;2260;1173;231;62;50;86;442;
Свиленград;20764;6214;8769;3042;421;54;230;426;1608;
Симеоновград;7700;1861;3208;1094;262;46;64;70;1095;
Стамболово;5458;1244;2450;1037;165;30;37;12;483;
Тополовград;8941;1879;3922;1726;378;85;78;129;744;
Харманли;21623;4848;9727;3483;684;121;150;310;2300;
Хасково;81342;14687;39984;12822;2244;421;810;2174;8200;
