;брой;брой;брой;брой;брой;брой;брой;брой;брой;брой;брой;брой;
;2011;2011;2011;2011;2011;2011;2021;2021;2021;2021;2021;2021;
;Общо;Висше образование;Средно образование;Основно;Начално и по-ниско образование;Дете до 7 години вкл., което още не посещава училище;Общо;Висше образование;Средно образование;Основно;Начално и по-ниско образование;Дете до 7 години вкл., което още не посещава училище;
Струмяни;5426;257;1657;1667;1830;15;4362;351;1895;1314;799;3;
Хаджидимово;9408;733;3704;3250;1707;14;8409;935;4177;2290;1005;2;
Якоруда;9953;842;3471;3492;2138;10;9000;1092;4032;2671;1203;2;
Кюстендил;129403;19166;61822;32446;15716;253;105854;21077;58578;17265;8900;34;
Бобов дол;8658;540;4008;2946;1152;12;6588;629;3832;1615;511;1;
Бобошево;2770;188;1211;984;386;1;2230;261;1341;471;157;-;
Дупница;42192;7272;20530;9418;4871;101;35555;7831;19583;4916;3213;12;
Кочериново;5009;413;2029;1777;782;8;4035;580;2177;962;316;-;
Кюстендил;57469;9502;28152;13025;6673;117;46551;10108;25290;7278;3856;19;
Невестино;2780;135;943;1232;470;0;1779;172;1009;487;111;-;
Рила;2762;330;1252;791;386;3;2330;427;1243;464;195;1;
Сапарева баня;7148;735;3405;2084;913;11;6363;1020;3844;992;506;1;
Трекляно;615;51;292;189;83;0;423;49;259;80;35;-;
Перник;126176;17935;64419;30719;12832;271;107541;22156;61403;15301;8646;35;
Брезник;6682;495;3086;2177;912;12;5522;685;3196;1204;437;-;
Земен;2679;187;1132;1038;315;7;1955;210;1125;497;122;1;
Ковачевци;1560;73;676;663;148;0;1222;116;722;328;56;-;
Перник;91441;15038;47975;19923;8297;208;79195;18263;44876;9772;6259;25;
Радомир;19880;1836;10001;5710;2306;27;16327;2487;9801;2859;1173;7;
Трън;3934;306;1549;1208;854;17;3320;395;1683;641;599;2;
София;232102;28451;110529;60904;31700;518;217159;40044;119116;36353;21587;59;
Антон;1492;116;748;443;182;3;1382;190;856;236;100;-;
Божурище;7980;1391;4125;1736;715;13;8817;2512;4690;925;686;4;
Ботевград;30878;5088;15137;6815;3765;73;29060;6217;15549;4269;3020;5;
Годеч;5159;468;2403;1597;683;8;4733;769;2744;909;310;1;
Горна Малина;5865;428;2762;1942;729;4;5801;830;3365;1101;504;1;
Долна баня;4144;358;1645;1259;866;16;3891;494;1845;827;723;2;
Драгоман;5139;387;2313;1756;671;12;4427;685;2455;969;318;-;
Елин Пелин;21336;2668;10886;5287;2458;37;21546;4524;12117;2957;1941;7;
Етрополе;11356;1579;5701;2786;1267;23;10219;1994;5815;1531;875;4;
Златица;5453;646;2747;1406;634;20;4712;807;2751;775;379;-;
Ихтиман;16182;1449;6271;4527;3881;54;15917;1998;7192;3674;3045;8;
Копривщица;2278;265;1116;644;248;5;1884;343;1113;315;112;1;
Костенец;12117;1456;5935;3175;1527;24;10473;1792;6162;1720;795;4;
Костинброд;16820;2090;8592;4363;1727;48;16721;3425;9741;2318;1235;2;
Мирково;2424;184;1040;846;352;2;2232;310;1268;435;218;1;
Пирдоп;7825;1191;3971;1790;858;15;6860;1450;3925;917;568;-;
Правец;6977;943;2871;1787;1358;18;6548;1215;3011;1285;1034;3;
Самоков;35575;4344;15827;9460;5857;87;32503;5486;17261;6309;3439;8;
Своге;21368;2027;10506;6256;2546;33;18519;2928;11012;3210;1365;4;
Сливница;9168;1116;4663;2361;1006;22;8454;1637;4845;1281;687;4;
Чавдар;1196;103;571;322;199;1;1100;172;627;186;115;-;
Челопеч;1370;154;699;346;171;0;1360;266;772;204;118;-;
София (столица);1207983;445058;542051;134237;84483;2154;1187318;517757;480744;92031;96126;660;
Столична;1207983;445058;542051;134237;84483;2154;1187318;517757;480744;92031;96126;660;
Южен централен;1383741;218025;572470;364011;226122;3113;1231735;257385;579659;242810;151256;625;
Кърджали;142534;14719;46357;50849;30298;311;133475;18668;53966;41288;19463;90;
Ардино;10962;691;3500;4275;2476;20;10946;1068;4481;3964;1426;7;
Джебел;7616;490;2196;3220;1688;22;8005;705;3214;2938;1142;6;
Кирково;20699;1150;5657;8810;5035;47;19542;1561;7276;7501;3174;30;
Крумовград;16557;1113;4503;6531;4369;41;15914;1567;5610;5910;2818;9;
Кърджали;62477;9607;23084;18559;11090;137;57948;11598;24841;13849;7632;28;
Момчилград;15244;1229;4912;5750;3319;34;13688;1564;5637;4542;1938;7;
Черноочене;8979;439;2505;3704;2321;10;7432;605;2907;2584;1333;3;
Пазарджик;256938;31758;103714;73618;47162;686;215539;36387;106739;45344;26976;93;
Батак;5842;559;2525;1798;953;7;4632;657;2459;1022;493;1;
Белово;8490;790;4060;2549;1074;17;6984;918;4128;1444;492;2;
Брацигово;9041;806;3597;2833;1785;20;6945;939;3541;1659;804;2;
Велинград;37772;4246;14048;12537;6821;120;30576;4851;13397;8026;4281;21;
Лесичово;5060;270;1691;1926;1158;15;4418;350;2085;1305;677;1;
Пазарджик;106867;16783;43790;25840;20152;302;85887;18042;42783;14454;10572;36;
Панагюрище;23911;2786;11549;6554;2981;41;20876;3554;11789;3653;1878;2;
Пещера;17498;2124;7002;4766;3557;49;13867;2432;6746;2831;1842;16;
Ракитово;13831;840;4293;5854;2794;50;12481;1072;5178;4252;1974;5;
Септември;23959;2091;9122;7509;5179;58;20281;2467;9990;4831;2988;5;
Стрелча;4667;463;2037;1452;708;7;4146;625;2234;878;409;-;
Сърница;;;;;;;4446;480;2409;989;566;2;
Пловдив;638369;123665;277959;144961;90333;1451;592001;149237;278542;95380;68579;263;
Асеновград;60111;8244;26854;16140;8745;128;53938;9995;27712;10532;5681;18;
Брезово;6908;489;2502;2517;1391;9;5856;644;2690;1679;842;1;
Калояново;11298;702;4322;4147;2101;26;9982;1087;5065;2659;1167;4;
Карлово;48780;5669;21940;12688;8362;121;43882;6349;22463;8574;6488;8;
Кричим;7764;625;2863;2170;2068;38;6725;754;2906;1933;1120;12;
Куклен;6020;591;2633;1838;940;18;5849;955;2967;1293;634;-;
Лъки;2808;233;1227;837;508;3;2153;248;1106;532;267;-;
Марица;30069;2546;12047;9532;5854;90;29861;4115;14730;6948;4061;7;
Перущица;4670;430;1814;1393;1026;7;4002;555;1981;876;586;4;
Пловдив;315292;89776;143493;47566;33795;662;297603;104715;132072;29780;30874;162;
Първомай;24437;2513;8740;8339;4797;48;20566;2878;9374;5337;2967;10;
Раковски;24540;1515;9482;8310;5157;76;23732;2365;11318;5970;4072;7;
Родопи;30717;3965;13532;9338;3835;47;30627;6717;15416;5526;2958;10;
Садово;14482;992;5024;4929;3479;58;13691;1387;6086;4046;2167;5;
Сопот;9253;1361;5129;1836;912;15;7914;1515;4821;999;577;2;
Стамболийски;19263;1884;7861;5729;3732;57;16756;2316;8120;3986;2327;7;
Съединение;9898;732;3721;3443;1977;25;8709;946;4518;2348;891;6;
Хисаря;12059;1398;4775;4209;1654;23;10155;1696;5197;2362;900;-;
Смолян;115030;15541;48901;32138;18295;155;91857;17423;44772;19800;9842;20;
Баните;4772;405;1643;1571;1150;3;3219;378;1444;956;441;-;
Борино;3476;275;1349;1144;707;1;2413;303;1070;741;298;1;
Девин;12328;1395;4847;4061;2004;21;9369;1495;4403;2528;943;-;
Доспат;8552;754;3707;2819;1260;12;7148;951;3652;1795;749;1;
Златоград;11702;1188;5120;3285;2088;21;9302;1324;4794;2024;1157;3;
Мадан;11555;787;4725;3926;2105;12;9581;1065;4756;2523;1237;-;
Неделино;6787;610;2892;1989;1287;9;4890;646;2410;1248;584;2;
Рудозем;9429;877;3947;2904;1688;13;8194;1257;3999;1976;961;1;
Смолян;39080;8158;17264;8497;5111;50;32053;8811;15161;5045;3027;9;
Чепеларе;7349;1092;3407;1942;895;13;5688;1193;3083;964;445;3;
Хасково;230870;32342;95539;62445;40034;510;198863;35670;95640;40998;26396;159;
Димитровград;50686;6688;23605;13330;6961;102;42215;7103;22568;8062;4449;33;
Ивайловград;6112;637;2473;1875;1119;8;4924;638;2374;1343;566;3;
Любимец;9490;1127;3302;2731;2301;29;8300;1267;3589;1872;1570;2;
Маджарово;1605;110;501;605;383;6;1404;153;611;415;224;1;
Минерални бани;5564;397;1868;2211;1081;7;5234;540;2310;1606;775;3;
Свиленград;21620;3404;8891;5352;3933;40;19444;4007;9291;3556;2579;11;
Симеоновград;7995;501;2780;2456;2230;28;6958;522;2812;1917;1701;6;
Стамболово;5579;232;1266;2579;1494;8;5204;370;1874;2041;916;3;
Тополовград;11132;943;3952;3892;2325;20;8518;991;4213;2316;991;7;
Харманли;23332;2574;9313;6576;4804;65;20269;2835;9405;4648;3368;13;
Хасково;87755;15729;37588;20838;13403;197;76393;17244;36593;13222;9257;77;
