;процент;процент;процент;процент;процент;процент;процент;процент;процент;
;Коефициенти на икономическа активност;Коефициенти на икономическа активност;Коефициенти на икономическа активност;Коефициенти на заетост;Коефициенти на заетост;Коефициенти на заетост;Коефициенти на безработица;Коефициенти на безработица;Коефициенти на безработица;
;Общо;Мъже;Жени;Общо;Мъже;Жени;Общо;Мъже;Жени;
Правец;45.5;48.1;43.0;39.5;41.2;37.8;13.2;14.3;12.1;
Самоков;49.5;54.2;45.3;43.4;47.2;39.9;12.4;12.9;11.9;
Своге;51.2;55.0;47.6;48.8;52.0;45.7;4.8;5.5;4.0;
Сливница;57.3;61.5;53.3;53.1;57.0;49.5;7.2;7.3;7.1;
Чавдар;50.1;53.6;46.7;41.1;44.3;38.0;17.9;17.3;18.6;
Челопеч;55.5;59.3;52.1;50.7;54.6;47.2;8.6;7.9;9.4;
София (столица);63.7;67.9;60.0;60.9;64.6;57.5;4.5;4.8;4.2;
Столична;63.7;67.9;60.0;60.9;64.6;57.5;4.5;4.8;4.2;
Южен централен;50.4;55.0;46.2;45.0;48.9;41.5;10.7;11.2;10.2;
Кърджали;39.5;43.4;35.9;34.2;37.2;31.4;13.5;14.3;12.5;
Ардино;33.0;36.4;29.6;26.4;28.3;24.5;20.0;22.3;17.3;
Джебел;31.8;35.7;28.0;28.1;31.1;25.0;11.8;12.9;10.4;
Кирково;30.9;33.9;27.8;24.7;26.9;22.5;20.0;20.7;19.1;
Крумовград;37.4;42.4;32.2;30.0;33.6;26.4;19.7;20.8;18.2;
Кърджали;46.4;50.2;42.9;42.0;45.3;39.0;9.4;9.8;9.0;
Момчилград;37.2;41.5;32.9;33.6;37.7;29.6;9.5;9.1;10.0;
Черноочене;37.8;43.6;32.3;28.6;32.1;25.1;24.5;26.3;22.3;
Пазарджик;50.5;55.6;45.8;42.7;46.9;38.8;15.4;15.6;15.1;
Батак;51.2;56.1;46.3;39.0;42.4;35.7;23.8;24.5;23.0;
Белово;41.8;47.9;36.3;40.8;47.0;35.1;2.5;1.9;3.2;
Брацигово;40.4;45.8;35.5;36.9;41.7;32.5;8.6;9.0;8.3;
Велинград;48.9;53.2;45.1;38.5;41.4;35.9;21.3;22.2;20.4;
Лесичово;53.9;60.7;47.3;27.2;30.4;24.0;49.5;49.8;49.2;
Пазарджик;51.7;56.7;47.2;46.5;50.8;42.5;10.2;10.4;10.0;
Панагюрище;53.2;58.0;48.6;48.3;52.7;44.1;9.1;9.1;9.2;
Пещера;49.8;55.8;44.5;44.8;50.6;39.6;10.1;9.3;11.0;
Ракитово;48.3;51.9;44.8;34.7;37.0;32.5;28.0;28.7;27.3;
Септември;50.5;56.4;44.7;38.9;43.7;34.2;23.0;22.6;23.5;
