;брой;брой;брой;брой;брой;брой;брой;брой;брой;
;2021;2021;2021;2021;2021;2021;2021;2021;2021;
;Общо;Християнско;Мюсюлманско;Юдейско;Друго;Нямам;Не мога да определя;Не желая да отговоря;Непоказано;
SOF46 Столична;1274290;825290;9828;901;3487;63607;44211;110370;216596;
BG42 Южен централен;1313337;767007;225044;274;750;42617;54422;106371;116852;
KRZ Кърджали;141177;19872;88705;21;24;1902;3518;13442;13693;
KRZ02 Ардино;11318;135;9370;-;3;53;167;607;983;
KRZ08 Джебел;8375;170;6067;3;3;21;136;1112;863;
KRZ14 Кирково;20442;186;14009;7;3;427;768;3409;1633;
KRZ15 Крумовград;16909;1523;11734;4;4;526;374;1537;1207;
KRZ16 Кърджали;62005;17141;30002;7;7;717;1783;5575;6773;
KRZ21 Момчилград;14353;572;10464;-;4;155;197;1107;1854;
KRZ35 Черноочене;7775;145;7059;-;-;3;93;95;380;
PAZ Пазарджик;229814;149934;29357;33;83;5316;8036;13153;23902;
PAZ03 Батак;4869;2442;1951;1;-;6;159;97;213;
PAZ04 Белово;7324;6404;1;-;-;17;29;91;782;
PAZ06 Брацигово;7355;6024;246;1;2;66;114;379;523;
PAZ08 Велинград;32951;13497;13186;8;8;399;688;1222;3943;
PAZ14 Лесичово;4695;3627;353;-;-;123;107;167;318;
PAZ19 Пазарджик;91368;65064;1343;15;48;2766;3751;6287;12094;
PAZ20 Панагюрище;22084;18134;8;-;6;688;739;1453;1056;
PAZ21 Пещера;14742;9153;2002;2;6;418;531;864;1766;
PAZ24 Ракитово;13490;4729;4737;3;13;445;730;1704;1129;
PAZ29 Септември;21795;17231;968;3;-;288;1047;643;1615;
PAZ32 Стрелча;4409;3609;1;-;-;98;141;235;325;
PAZ39 Сърница;4732;20;4561;-;-;2;-;11;138;
PDV Пловдив;634497;439779;39851;156;522;21980;27060;46860;58289;
PDV01 Асеновград;57601;34618;12726;8;20;1069;1184;3336;4640;
PDV07 Брезово;6170;4999;29;1;-;152;299;296;394;
PDV12 Калояново;10598;8586;446;3;-;314;348;377;524;
PDV13 Карлово;46784;31824;2306;3;15;1966;3576;4153;2941;
PDV39 Кричим;7245;3108;2211;2;-;151;559;764;450;
PDV42 Куклен;6276;3408;1838;1;1;55;176;435;362;
PDV15 Лъки;2220;765;230;1;-;269;414;416;125;
PDV17 Марица;32154;22856;947;-;9;1121;2048;3580;1593;
PDV40 Перущица;4298;3379;3;-;2;65;263;191;395;
PDV22 Пловдив;319612;216853;13796;125;437;12838;11644;26061;37858;
PDV23 Първомай;21807;16115;1813;-;3;389;1262;727;1498;
PDV25 Раковски;25893;21328;336;2;4;958;1247;689;1329;
PDV26 Родопи;32689;25369;2126;5;19;829;881;1690;1770;
PDV28 Садово;14766;11763;339;-;2;309;630;918;805;
PDV43 Сопот;8375;6499;168;1;2;156;259;497;793;
PDV41 Стамболийски;18107;12957;426;1;2;501;1373;1320;1527;
PDV33 Съединение;9310;7173;74;1;2;626;412;563;459;
PDV37 Хисаря;10592;8179;37;2;4;212;485;847;826;
SML Смолян;96284;23079;39217;25;43;6519;8044;18552;805;
SML02 Баните;3302;207;888;-;1;363;854;978;11;
SML05 Борино;2493;150;1711;-;-;137;51;423;21;
SML09 Девин;9765;1930;3152;2;11;1002;968;2618;82;
SML10 Доспат;7510;37;6570;3;-;31;90;735;44;
SML11 Златоград;9768;1151;2136;-;3;1345;1703;3349;81;
SML16 Мадан;10062;456;7870;3;4;310;362;997;60;
SML18 Неделино;5079;357;1041;-;-;416;1110;2087;68;
SML27 Рудозем;8674;489;7270;1;2;149;177;538;48;
SML31 Смолян;33688;14485;7841;15;21;2610;2477;5886;353;
SML38 Чепеларе;5943;3817;738;1;1;156;252;941;37;
HKV Хасково;211565;134343;27914;39;78;6900;7764;14364;20163;
HKV09 Димитровград;44632;33062;654;2;26;1647;1820;3114;4307;
HKV11 Ивайловград;5161;3014;861;-;-;297;188;531;270;
HKV17 Любимец;8940;7457;131;-;1;118;399;295;539;
HKV18 Маджарово;1484;514;418;1;-;47;171;158;175;
HKV19 Минерални бани;5520;1928;2820;-;2;28;110;190;442;
HKV28 Свиленград;20764;15114;531;-;7;1027;620;1857;1608;
HKV29 Симеоновград;7700;4785;35;7;-;855;465;458;1095;
HKV30 Стамболово;5458;789;3523;1;-;224;203;235;483;
HKV32 Тополовград;8941;6501;18;-;2;592;527;557;744;
HKV33 Харманли;21623;13665;2759;-;7;655;837;1400;2300;
HKV34 Хасково;81342;47514;16164;28;33;1410;2424;5569;8200;
