;;Събития (опасности);Събития (опасности);Събития (опасности);Загинали лица;Загинали лица;Загинали лица;Пострадали лица;Пострадали лица;Пострадали лица;
Варна;85523 паразитна болест;0;0;0;0;0;0;0;0;0;
Варна;85524 гъбична болест;0;0;0;0;0;0;0;0;0;
Варна;85525 прионова болест;0;0;0;0;0;0;0;0;0;
Варна;85530 Нашествие на вредители;0;0;0;0;0;0;0;0;0;
Варна;85531 нашествие на насекоми;0;0;0;0;0;0;0;0;0;
Варна;85532 нашествие на други вредители;0;0;0;0;0;0;0;0;0;
Варна;85601 Космически явления;0;0;0;0;0;0;0;0;0;
Варна;85610 Сблъсък;0;0;0;0;0;0;0;0;0;
Варна;85611 метеоритен удар;0;0;0;0;0;0;0;0;0;
Варна;85612 въздушен взрив;0;0;0;0;0;0;0;0;0;
Варна;85620 Космическа буря;0;0;0;0;0;0;0;0;0;
Варна;85621 енергийни частици;0;0;0;0;0;0;0;0;0;
Варна;85622 геомагнитна буря;0;0;0;0;0;0;0;0;0;
Варна;85623 шокова вълна;0;0;0;0;0;0;0;0;0;
Варна;85701 Техногенни;1093;1256;1292;43;39;43;712;836;871;
Варна;85710 Промишлена авария;41;38;51;1;0;0;0;0;1;
Варна;85711 химически разлив;0;0;0;0;0;0;0;0;0;
Варна;85712 срутване;0;0;0;0;0;0;0;0;0;
Варна;85713 експлозия;0;0;0;0;0;0;0;0;0;
Варна;85714 пожар;41;38;51;1;0;0;0;0;1;
Варна;85715 теч на газ;0;0;0;0;0;0;0;0;0;
Варна;85716 отравяне;0;0;0;0;0;0;0;0;0;
Варна;85717 радиация;0;0;0;0;0;0;0;0;0;
Варна;85718 нефтен разлив;0;0;0;0;0;0;0;0;0;
Варна;85719 други (промишлени);0;0;0;0;0;0;0;0;0;
Варна;85720 Други аварии (непромишлени);502;561;535;20;9;12;26;21;24;
Варна;85721 срутване (непромишлено);0;0;0;0;0;0;0;0;0;
Варна;85722 експлозия (непромишлена);0;0;0;0;0;0;0;0;0;
Варна;85723 пожар (непромишлен);502;561;535;20;9;12;26;21;24;
Варна;85724 други (непромишлени);0;0;0;0;0;0;0;0;0;
Варна;85730 Транспортнаи аварии/инциденти;550;657;706;22;30;31;686;815;846;
Варна;85731 въздухоплавателни;0;0;0;0;0;0;0;0;0;
Варна;85732 пътни;550;656;703;22;30;30;686;814;845;
Варна;85733 железопътни;0;1;3;0;0;1;0;1;1;
Варна;85734 воднотранспортни;0;0;0;0;0;0;0;0;0;
Варна;85801 Други бедствия и кризи;0;2;1;0;0;0;0;0;0;
Варна;85810 Деградиране на околната среда;0;0;0;0;0;0;0;0;0;
Варна;85811 деградация на почвите (почвена ерозия);0;0;0;0;0;0;0;0;0;
Варна;85812 обезлесяване;0;0;0;0;0;0;0;0;0;
Варна;85813 други, свързани с деградиране на околната среда;0;0;0;0;0;0;0;0;0;
Варна;85820 Други, в т.ч.;0;2;1;0;0;0;0;0;0;
Варна;85821 Размирици, терористични актове, етнически конфликти, кибератаки;0;0;0;0;0;0;0;0;0;
Варна;85822 Социални или икономически кризи;0;0;0;0;0;0;0;0;0;
Варна;85823 Други неизброени;0;2;1;0;0;0;0;0;0;
