;2021;2021;2021;2021;2021;2021;2021;2021;
;брой;брой;брой;брой;брой;брой;брой;брой;
;Общо;Нямам;до 50%;50-70%;71-90%;Над 90%;Не желая да отговоря;Непоказано;
Правец;5738;4501;51;303;273;193;101;316;
Самоков;29239;21100;440;1420;1461;985;1411;2422;
Своге;17292;13281;195;788;857;514;694;963;
Сливница;7767;6237;80;368;393;238;191;260;
Чавдар;998;848;6;40;27;26;27;24;
Челопеч;1236;1025;10;37;55;38;18;53;
София (столица);1076855;755321;8934;35169;41648;22320;44042;169421;
Столична;1076855;755321;8934;35169;41648;22320;44042;169421;
Южен централен;1118183;876948;11762;47551;42518;23873;37277;78254;
Кърджали;122305;91692;713;6187;5341;2860;6807;8705;
Ардино;10378;7468;45;668;545;285;718;649;
Джебел;7440;5333;49;494;373;206;516;469;
Кирково;18229;13908;117;929;823;409;1035;1008;
Крумовград;14490;11644;82;729;611;334;321;769;
Кърджали;52249;38571;297;2399;2157;1190;3324;4311;
Момчилград;12666;9255;62;634;549;294;616;1256;
Черноочене;6853;5513;61;334;283;142;277;243;
Пазарджик;195411;152644;2202;8651;7002;3280;6188;15444;
Батак;4317;3492;46;252;185;147;56;139;
Белово;6524;5037;81;330;278;127;59;612;
Брацигово;6449;5168;82;306;273;124;189;307;
Велинград;27164;21161;380;1138;766;358;1086;2275;
Лесичово;4027;3313;46;176;172;109;16;195;
Пазарджик;77955;59292;828;3373;2951;1270;2113;8128;
Панагюрище;19238;16117;204;718;605;310;462;822;
Пещера;12544;9759;141;587;443;210;320;1084;
Ракитово;10938;7803;129;482;301;147;1466;610;
Септември;18385;15141;185;828;700;321;255;955;
Стрелча;3844;3077;39;195;149;80;84;220;
Сърница;4026;3284;41;266;179;77;82;97;
Пловдив;536163;414332;6066;21744;21279;12782;18654;41306;
Асеновград;49083;37397;509;2686;2532;1332;1566;3061;
Брезово;5409;4285;86;254;304;145;47;288;
Калояново;9228;7664;97;375;362;243;106;381;
Карлово;39434;31791;493;1392;1446;858;1534;1920;
Кричим;6014;4916;54;267;234;179;79;285;
Куклен;5337;4194;79;265;262;155;114;268;
Лъки;2050;1530;23;130;113;110;33;111;
Марица;26783;20825;299;1122;969;664;1869;1035;
Перущица;3586;2758;55;204;133;115;77;244;
Пловдив;269390;203675;2835;9747;9657;5852;9877;27747;
Първомай;18738;14695;267;906;995;612;337;926;
Раковски;21109;17404;226;857;766;490;593;773;
Родопи;27955;22438;339;1245;1218;628;773;1314;
Садово;12285;9841;175;559;574;304;395;437;
Сопот;7267;5714;102;285;261;167;141;597;
Стамболийски;14968;11531;186;658;635;405;585;968;
Съединение;8032;6513;99;361;366;234;162;297;
Хисаря;9495;7161;142;431;452;289;366;654;
Смолян;84847;74112;1031;3668;2975;1578;1282;201;
Баните;3099;2539;41;216;158;90;53;2;
Борино;2284;1949;39;127;101;45;14;9;
Девин;8713;7560;120;388;318;182;123;22;
Доспат;6567;5918;54;235;167;108;76;9;
Златоград;8659;7772;104;306;236;146;74;21;
Мадан;8832;7782;109;410;269;132;107;23;
Неделино;4587;3897;72;231;138;100;131;18;
Рудозем;7460;6578;94;308;218;103;149;10;
Смолян;29323;25411;337;1231;1182;581;501;80;
Чепеларе;5323;4706;61;216;188;91;54;7;
Хасково;179457;144168;1750;7301;5921;3373;4346;12598;
Димитровград;38486;30666;339;1419;1286;665;1246;2865;
Ивайловград;4545;3656;35;231;147;98;208;170;
Любимец;7354;6316;61;255;194;141;101;286;
Маджарово;1303;1002;21;61;31;26;33;129;
Минерални бани;4812;3835;69;251;181;95;64;317;
Свиленград;17644;14501;129;539;556;315;553;1051;
Симеоновград;5963;4772;60;216;168;91;68;588;
Стамболово;4755;3868;47;248;165;94;28;305;
Тополовград;7880;6407;81;289;294;199;105;505;
Харманли;18150;14606;187;795;624;383;242;1313;
Хасково;68565;54539;721;2997;2275;1266;1698;5069;
