;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;
;Общо;Общо;Общо;Урбанизирана територия;Урбанизирана територия;Урбанизирана територия;Територия на транспорта;Територия на транспорта;Територия на транспорта;Земеделска територия;Земеделска територия;Земеделска територия;Горска територия;Горска територия;Горска територия;Територия, заета от води и водни обекти;Територия, заета от води и водни обекти;Територия, заета от води и водни обекти;Защитена територия;Защитена територия;Защитена територия;Нарушена територия;Нарушена територия;Нарушена територия;Непоказано;Непоказано;Непоказано;Общо;Общо;Общо;Урбанизирана територия;Урбанизирана територия;Урбанизирана територия;Територия на транспорта;Територия на транспорта;Територия на транспорта;Земеделска територия;Земеделска територия;Земеделска територия;Горска територия;Горска територия;Горска територия;Територия, заета от води и водни обекти;Територия, заета от води и водни обекти;Територия, заета от води и водни обекти;Защитена територия;Защитена територия;Защитена територия;Нарушена територия;Нарушена територия;Нарушена територия;Непоказано;Непоказано;Непоказано;Общо;Общо;Общо;Урбанизирана територия;Урбанизирана територия;Урбанизирана територия;Територия на транспорта;Територия на транспорта;Територия на транспорта;Земеделска територия;Земеделска територия;Земеделска територия;Горска територия;Горска територия;Горска територия;Територия, заета от води и водни обекти;Територия, заета от води и водни обекти;Територия, заета от води и водни обекти;Защитена територия;Защитена територия;Защитена територия;Нарушена територия;Нарушена територия;Нарушена територия;Непоказано;Непоказано;Непоказано;Общо;Общо;Общо;Урбанизирана територия;Урбанизирана територия;Урбанизирана територия;Територия на транспорта;Територия на транспорта;Територия на транспорта;Земеделска територия;Земеделска територия;Земеделска територия;Горска територия;Горска територия;Горска територия;Територия, заета от води и водни обекти;Територия, заета от води и водни обекти;Територия, заета от води и водни обекти;Защитена територия;Защитена територия;Защитена територия;Нарушена територия;Нарушена територия;Нарушена територия;Непоказано;Непоказано;Непоказано;
;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;
Етрополе;37187.36;371.87;100.00;1546.63;15.47;4.16;323.26;3.23;0.87;8834.29;88.34;23.76;26012.71;260.13;69.95;150.56;1.51;0.40;-;-;-;185.49;1.85;0.50;134.42;1.34;0.36;37187.26;371.87;100.00;1546.82;15.47;4.16;323.26;3.23;0.87;8834.21;88.34;23.76;25990.46;259.90;69.89;150.56;1.51;0.40;-;-;0.00;207.64;2.08;0.56;134.31;1.34;0.36;37187.26;371.87;100.00;1556.32;15.56;4.19;323.26;3.23;0.87;8768.69;87.69;23.58;25990.46;259.90;69.89;147.07;1.47;0.40;-;-;-;267.50;2.68;0.72;133.96;1.34;0.36;37187.26;371.87;100.00;1584.82;15.85;4.26;326.71;3.27;0.88;8775.37;87.75;23.60;25979.64;259.80;69.86;147.07;1.47;0.40;-;-;0.00;239.08;2.39;0.64;134.58;1.35;0.36;
Златица;16337.24;163.37;100.00;552.22;5.52;3.38;241.62;2.42;1.48;4856.37;48.56;29.73;10462.77;104.63;64.04;124.81;1.25;0.76;2.85;0.03;0.02;63.29;0.63;0.39;33.33;0.33;0.20;16337.24;163.37;100.00;552.33;5.52;3.38;241.66;2.42;1.48;4856.45;48.56;29.73;10462.81;104.63;64.04;124.81;1.25;0.76;2.85;0.03;0.02;63.29;0.63;0.39;33.05;0.33;0.20;16337.24;163.37;100.00;552.55;5.53;3.38;241.53;2.42;1.48;4856.42;48.56;29.73;10462.81;104.63;64.04;124.75;1.25;0.76;2.85;0.03;0.02;63.29;0.63;0.39;33.05;0.33;0.20;16337.19;163.37;100.00;671.81;6.72;4.11;244.09;2.44;1.49;4877.88;48.78;29.86;10319.38;103.19;63.16;124.77;1.25;0.76;2.94;0.03;0.02;63.29;0.63;0.39;33.04;0.33;0.20;
Ихтиман;54231.53;542.32;100.00;1315.55;13.16;2.43;1054.00;10.54;1.94;16378.33;163.78;30.20;26326.63;263.27;48.54;549.71;5.50;1.01;0.06;0.00;0.00;76.39;0.76;0.14;8530.86;85.31;15.73;54231.53;542.32;100.00;1629.79;16.30;3.01;1332.64;13.33;2.46;20087.00;200.87;37.04;29859.53;298.60;55.06;749.90;7.50;1.38;0.06;0.00;0.00;95.59;0.96;0.18;477.02;4.77;0.88;54231.53;542.32;100.00;1678.49;16.78;3.10;1332.87;13.33;2.46;20070.08;200.70;37.01;29812.56;298.13;54.97;749.90;7.50;1.38;0.06;0.00;0.00;111.43;1.11;0.21;476.15;4.76;0.88;54231.50;542.32;100.00;1740.46;17.40;3.21;1332.91;13.33;2.46;20025.42;200.25;36.93;29794.18;297.94;54.94;751.40;7.51;1.39;0.06;0.00;0.00;111.43;1.11;0.21;475.66;4.76;0.88;
Копривщица;13891.72;138.92;100.00;137.31;1.37;0.99;189.32;1.89;1.36;5414.40;54.14;38.98;8108.09;81.08;58.37;34.47;0.34;0.25;3.97;0.04;0.03;4.14;0.04;0.03;0.01;0.00;0.00;13891.72;138.92;100.00;137.31;1.37;0.99;189.32;1.89;1.36;5414.40;54.14;38.98;8108.09;81.08;58.37;34.47;0.34;0.25;3.97;0.04;0.03;4.14;0.04;0.03;0.01;0.00;0.00;13891.72;138.92;100.00;137.27;1.37;0.99;189.36;1.89;1.36;5414.40;54.14;38.98;8108.09;81.08;58.37;34.47;0.34;0.25;3.97;0.04;0.03;4.14;0.04;0.03;0.01;0.00;0.00;13891.71;138.92;100.00;137.79;1.38;0.99;189.36;1.89;1.36;5265.05;52.65;37.90;8256.19;82.56;59.43;35.20;0.35;0.25;3.97;0.04;0.03;4.14;0.04;0.03;0.00;0.00;0.00;
Костенец;30236.75;302.37;100.00;132.21;1.32;0.44;41.11;0.41;0.14;909.05;9.09;3.01;1401.96;14.02;4.64;2.89;0.03;0.01;-;-;-;-;-;-;27749.53;277.50;91.77;30236.75;302.37;100.00;1080.47;10.80;3.57;757.49;7.57;2.51;9885.68;98.86;32.69;12584.28;125.84;41.62;208.02;2.08;0.69;4493.17;44.93;14.86;3.94;0.04;0.01;1223.69;12.24;4.05;30236.75;302.37;100.00;1082.90;10.83;3.58;759.06;7.59;2.51;9883.81;98.84;32.69;12583.83;125.84;41.62;204.63;2.05;0.68;4498.87;44.99;14.88;5.57;0.06;0.02;1218.08;12.18;4.03;30237.06;302.37;100.00;1096.30;10.96;3.63;760.62;7.61;2.52;9868.85;98.69;32.64;12584.09;125.84;41.62;208.08;2.08;0.69;4498.98;44.99;14.88;5.57;0.06;0.02;1214.57;12.15;4.02;
Костинброд;25479.50;254.79;100.00;2615.24;26.15;10.26;751.26;7.51;2.95;15019.03;150.19;58.95;6384.75;63.85;25.06;245.27;2.45;0.96;2.41;0.02;0.01;158.20;1.58;0.62;303.35;3.03;1.19;25479.50;254.79;100.00;2660.23;26.60;10.44;753.84;7.54;2.96;14991.71;149.92;58.84;6384.07;63.84;25.06;245.27;2.45;0.96;2.41;0.02;0.01;158.20;1.58;0.62;283.78;2.84;1.11;25479.50;254.79;100.00;4225.82;42.26;16.59;758.83;7.59;2.98;13423.49;134.23;52.68;6383.64;63.84;25.05;245.17;2.45;0.96;2.40;0.02;0.01;158.20;1.58;0.62;281.95;2.82;1.11;25479.50;254.79;100.00;4251.19;42.51;16.68;761.92;7.62;2.99;13406.34;134.06;52.62;6381.69;63.82;25.05;245.15;2.45;0.96;2.40;0.02;0.01;158.20;1.58;0.62;272.61;2.73;1.07;
Мирково;20804.51;208.05;100.00;378.29;3.78;1.82;356.96;3.57;1.72;8431.40;84.31;40.53;10994.62;109.95;52.85;84.95;0.85;0.41;0.09;0.00;0.00;555.98;5.56;2.67;2.21;0.02;0.01;20804.51;208.05;100.00;378.22;3.78;1.82;356.63;3.57;1.71;8431.40;84.31;40.53;10995.03;109.95;52.85;84.95;0.85;0.41;0.09;0.00;0.00;556.00;5.56;2.67;2.18;0.02;0.01;20804.51;208.05;100.00;380.27;3.80;1.83;357.74;3.58;1.72;8430.31;84.30;40.52;10994.99;109.95;52.85;82.92;0.83;0.40;0.09;0.00;0.00;556.00;5.56;2.67;2.18;0.02;0.01;20804.47;208.04;100.00;380.90;3.81;1.83;357.57;3.58;1.72;8430.99;84.31;40.52;10993.84;109.94;52.84;82.92;0.83;0.40;0.09;0.00;0.00;555.98;5.56;2.67;2.17;0.02;0.01;
Пирдоп;15250.06;152.50;100.00;512.14;5.12;3.36;260.71;2.61;1.71;5093.26;50.93;33.40;8848.65;88.49;58.02;160.90;1.61;1.06;0.19;0.00;0.00;188.76;1.89;1.24;185.44;1.85;1.22;15250.06;152.50;100.00;513.04;5.13;3.36;260.71;2.61;1.71;5092.44;50.92;33.39;8848.65;88.49;58.02;160.90;1.61;1.06;0.19;0.00;0.00;188.76;1.89;1.24;185.36;1.85;1.22;15250.06;152.50;100.00;514.14;5.14;3.37;261.37;2.61;1.71;5090.97;50.91;33.38;8848.65;88.49;58.02;160.90;1.61;1.06;101.04;1.01;0.66;188.76;1.89;1.24;84.22;0.84;0.55;15250.07;152.50;100.00;515.43;5.15;3.38;261.36;2.61;1.71;5106.99;51.07;33.49;8831.35;88.31;57.91;160.90;1.61;1.06;101.05;1.01;0.66;188.76;1.89;1.24;84.22;0.84;0.55;
Правец;31689.76;316.90;100.00;505.04;5.05;1.59;647.13;6.47;2.04;13798.23;137.98;43.54;13901.34;139.01;43.87;216.01;2.16;0.68;4.64;0.05;0.01;9.56;0.10;0.03;2607.81;26.08;8.23;31689.76;316.90;100.00;517.37;5.17;1.63;648.00;6.48;2.04;13786.17;137.86;43.50;13899.76;139.00;43.86;216.74;2.17;0.68;4.64;0.05;0.01;9.56;0.10;0.03;2607.53;26.08;8.23;31689.76;316.90;100.00;518.75;5.19;1.64;648.00;6.48;2.04;13785.11;137.85;43.50;13899.44;138.99;43.86;216.74;2.17;0.68;4.64;0.05;0.01;9.56;0.10;0.03;2607.53;26.08;8.23;31689.77;316.90;100.00;524.26;5.24;1.65;650.53;6.51;2.05;13776.87;137.77;43.47;13899.34;138.99;43.86;216.55;2.17;0.68;4.64;0.05;0.01;9.56;0.10;0.03;2608.03;26.08;8.23;
Самоков;121140.00;1211.40;100.00;3094.29;30.94;2.55;1688.87;16.89;1.39;42427.01;424.27;35.02;67667.15;676.67;55.86;822.30;8.22;0.68;4904.97;49.05;4.05;63.62;0.64;0.05;471.78;4.72;0.39;121139.23;1211.39;100.00;3098.21;30.98;2.56;1684.43;16.84;1.39;39531.01;395.31;32.63;58060.63;580.61;47.93;680.60;6.81;0.56;17551.20;175.51;14.49;63.62;0.64;0.05;469.55;4.70;0.39;121139.23;1211.39;100.00;3091.77;30.92;2.55;1660.73;16.61;1.37;36307.36;363.07;29.97;49262.91;492.63;40.67;621.73;6.22;0.51;29637.86;296.38;24.47;63.62;0.64;0.05;493.25;4.93;0.41;121139.12;1211.39;100.00;3145.49;31.45;2.60;1660.86;16.61;1.37;36237.44;362.37;29.91;49209.16;492.09;40.62;621.06;6.21;0.51;29733.92;297.34;24.55;63.62;0.64;0.05;467.56;4.68;0.39;
Своге;87030.09;870.30;100.00;1684.18;16.84;1.94;1088.63;10.89;1.25;30528.66;305.29;35.08;50598.15;505.98;58.14;309.94;3.10;0.36;6.24;0.06;0.01;43.20;0.43;0.05;2771.09;27.71;3.18;87030.09;870.30;100.00;1697.84;16.98;1.95;1095.39;10.95;1.26;30521.67;305.22;35.07;50569.88;505.70;58.11;310.22;3.10;0.36;38.45;0.38;0.04;38.47;0.38;0.04;2758.18;27.58;3.17;87030.09;870.30;100.00;1703.28;17.03;1.96;1090.56;10.91;1.25;30349.35;303.49;34.87;50729.67;507.30;58.29;310.27;3.10;0.36;38.45;0.38;0.04;50.31;0.50;0.06;2758.20;27.58;3.17;87029.39;870.29;100.00;1705.58;17.06;1.96;1094.82;10.95;1.26;30107.96;301.08;34.60;50964.33;509.64;58.56;310.94;3.11;0.36;38.45;0.38;0.04;50.31;0.50;0.06;2757.00;27.57;3.17;
Сливница;18777.41;187.77;100.00;968.41;9.68;5.16;797.37;7.97;4.25;13780.08;137.80;73.39;3038.04;30.38;16.18;84.79;0.85;0.45;1.90;0.02;0.01;94.92;0.95;0.51;11.90;0.12;0.06;18777.41;187.77;100.00;972.39;9.72;5.18;801.27;8.01;4.27;13772.19;137.72;73.34;3038.04;30.38;16.18;85.55;0.86;0.46;1.90;0.02;0.01;94.17;0.94;0.50;11.90;0.12;0.06;18777.41;187.77;100.00;2071.49;20.71;11.03;803.41;8.03;4.28;12671.43;126.71;67.48;3038.04;30.38;16.18;85.52;0.86;0.46;1.90;0.02;0.01;93.88;0.94;0.50;11.73;0.12;0.06;18777.40;187.77;100.00;2136.63;21.37;11.38;803.96;8.04;4.28;12617.49;126.17;67.20;3026.54;30.27;16.12;85.52;0.86;0.46;1.90;0.02;0.01;93.88;0.94;0.50;11.48;0.11;0.06;
Чавдар;7083.75;70.84;100.00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;37.81;0.38;0.53;7045.93;70.46;99.47;7083.75;70.84;100.00;111.65;1.12;1.58;84.17;0.84;1.19;1660.92;16.61;23.45;2627.03;26.27;37.09;13.65;0.14;0.19;0.56;0.01;0.01;310.01;3.10;4.38;2275.77;22.76;32.13;7083.75;70.84;100.00;111.64;1.12;1.58;84.17;0.84;1.19;1707.83;17.08;24.11;2622.46;26.22;37.02;13.65;0.14;0.19;0.56;0.01;0.01;311.27;3.11;4.39;2232.17;22.32;31.51;7083.86;70.84;100.00;111.29;1.11;1.57;84.94;0.85;1.20;1704.06;17.04;24.06;2622.44;26.22;37.02;16.44;0.16;0.23;0.56;0.01;0.01;311.93;3.12;4.40;2232.21;22.32;31.51;
Челопеч;4439.58;44.40;100.00;114.63;1.15;2.58;138.72;1.39;3.12;1669.71;16.70;37.61;2233.09;22.33;50.30;39.97;0.40;0.90;2.45;0.02;0.06;227.84;2.28;5.13;13.17;0.13;0.30;4439.58;44.40;100.00;114.58;1.15;2.58;142.13;1.42;3.20;1672.17;16.72;37.66;2192.65;21.93;49.39;37.53;0.38;0.85;2.42;0.02;0.05;265.52;2.66;5.98;12.59;0.13;0.28;4439.58;44.40;100.00;114.48;1.14;2.58;142.53;1.43;3.21;1668.85;16.69;37.59;2192.65;21.93;49.39;40.54;0.41;0.91;2.42;0.02;0.05;265.52;2.66;5.98;12.59;0.13;0.28;4439.58;44.40;100.00;117.89;1.18;2.66;142.59;1.43;3.21;1668.05;16.68;37.57;2192.65;21.93;49.39;38.66;0.39;0.87;2.42;0.02;0.05;267.63;2.68;6.03;9.69;0.10;0.22;
София (столица);134344.35;1343.44;100.00;25565.53;255.66;19.03;8843.50;88.44;6.58;46343.95;463.44;34.50;44224.21;442.24;32.92;5160.41;51.60;3.84;1362.45;13.62;1.01;1926.01;19.26;1.43;918.29;9.18;0.68;134340.13;1343.40;100.00;25580.91;255.81;19.04;8892.06;88.92;6.62;46279.56;462.80;34.45;44219.73;442.20;32.92;5160.44;51.60;3.84;1362.41;13.62;1.01;1927.47;19.27;1.43;917.55;9.18;0.68;134340.13;1343.40;100.00;25684.79;256.85;19.12;8909.91;89.10;6.63;46156.83;461.57;34.36;43858.43;438.58;32.65;5400.38;54.00;4.02;1362.41;13.62;1.01;1685.98;16.86;1.26;1281.40;12.81;0.95;134337.72;1343.38;100.00;25801.12;258.01;19.21;8979.17;89.79;6.68;45772.59;457.73;34.07;44436.93;444.37;33.08;5401.33;54.01;4.02;1995.60;19.96;1.49;1829.99;18.30;1.36;120.99;1.21;0.09;
Столична;134344.35;1343.44;100.00;25565.53;255.66;19.03;8843.50;88.44;6.58;46343.95;463.44;34.50;44224.21;442.24;32.92;5160.41;51.60;3.84;1362.45;13.62;1.01;1926.01;19.26;1.43;918.29;9.18;0.68;134340.13;1343.40;100.00;25580.91;255.81;19.04;8892.06;88.92;6.62;46279.56;462.80;34.45;44219.73;442.20;32.92;5160.44;51.60;3.84;1362.41;13.62;1.01;1927.47;19.27;1.43;917.55;9.18;0.68;134340.13;1343.40;100.00;25684.79;256.85;19.12;8909.91;89.10;6.63;46156.83;461.57;34.36;43858.43;438.58;32.65;5400.38;54.00;4.02;1362.41;13.62;1.01;1685.98;16.86;1.26;1281.40;12.81;0.95;134337.72;1343.38;100.00;25801.12;258.01;19.21;8979.17;89.79;6.68;45772.59;457.73;34.07;44436.93;444.37;33.08;5401.33;54.01;4.02;1995.60;19.96;1.49;1829.99;18.30;1.36;120.99;1.21;0.09;
Южен централен;2236530.56;22365.31;100.00;84668.74;846.69;3.79;57270.61;572.71;2.56;985598.54;9855.99;44.07;1015409.76;10154.10;45.40;51430.47;514.30;2.30;12294.36;122.94;0.55;4401.34;44.01;0.20;25456.74;254.57;1.14;2236530.34;22365.30;100.00;85385.43;853.85;3.82;57611.07;576.11;2.58;982445.26;9824.45;43.93;1017268.01;10172.68;45.48;51470.01;514.70;2.30;16851.88;168.52;0.75;4411.65;44.12;0.20;21087.04;210.87;0.94;2236530.34;22365.30;100.00;87590.54;875.91;3.92;57946.50;579.47;2.59;975663.28;9756.63;43.62;1007767.45;10077.67;45.06;51931.72;519.32;2.32;42669.78;426.70;1.91;4448.12;44.48;0.20;8512.94;85.13;0.38;2236530.76;22365.31;100.00;88903.97;889.04;3.98;58596.75;585.97;2.62;975801.53;9758.02;43.63;1009303.67;10093.04;45.13;52197.93;521.98;2.33;42673.46;426.73;1.91;4541.62;45.42;0.20;4511.83;45.12;0.20;
Кърджали;321059.18;3210.59;100.00;8489.99;84.90;2.64;4125.24;41.25;1.28;123285.76;1232.86;38.40;173866.45;1738.66;54.15;7346.34;73.46;2.29;905.26;9.05;0.28;435.16;4.35;0.14;2604.96;26.05;0.81;321059.02;3210.59;100.00;8532.67;85.33;2.66;4131.25;41.31;1.29;123005.54;1230.06;38.31;174096.78;1740.97;54.23;7346.36;73.46;2.29;905.29;9.05;0.28;436.18;4.36;0.14;2604.96;26.05;0.81;321059.02;3210.59;100.00;8493.25;84.93;2.65;4141.81;41.42;1.29;123000.02;1230.00;38.31;174130.99;1741.31;54.24;7346.59;73.47;2.29;905.29;9.05;0.28;436.18;4.36;0.14;2604.90;26.05;0.81;321059.06;3210.59;100.00;8522.92;85.23;2.65;4156.21;41.56;1.29;123052.69;1230.53;38.33;174003.79;1740.04;54.20;7377.42;73.77;2.30;904.92;9.05;0.28;436.18;4.36;0.14;2604.92;26.05;0.81;
Ардино;33960.30;339.60;100.00;739.62;7.40;2.18;290.60;2.91;0.86;11693.10;116.93;34.43;20051.81;200.52;59.04;786.01;7.86;2.31;15.59;0.16;0.05;11.89;0.12;0.04;371.68;3.72;1.09;33960.30;339.60;100.00;741.11;7.41;2.18;291.84;2.92;0.86;11691.33;116.91;34.43;20050.85;200.51;59.04;786.03;7.86;2.31;15.59;0.16;0.05;11.89;0.12;0.04;371.68;3.72;1.09;33960.30;339.60;100.00;742.03;7.42;2.19;291.88;2.92;0.86;11690.41;116.90;34.42;20050.80;200.51;59.04;786.03;7.86;2.31;15.59;0.16;0.05;11.89;0.12;0.04;371.68;3.72;1.09;33960.30;339.60;100.00;743.16;7.43;2.19;293.86;2.94;0.87;11694.90;116.95;34.44;20042.56;200.43;59.02;786.03;7.86;2.31;16.22;0.16;0.05;11.89;0.12;0.04;371.68;3.72;1.09;
Джебел;22950.91;229.51;100.00;563.79;5.64;2.46;257.08;2.57;1.12;7727.97;77.28;33.67;14014.82;140.15;61.06;159.27;1.59;0.69;6.50;0.07;0.03;2.36;0.02;0.01;219.12;2.19;0.95;22950.91;229.51;100.00;563.67;5.64;2.46;257.43;2.57;1.12;7708.21;77.08;33.59;14030.19;140.30;61.13;159.27;1.59;0.69;6.50;0.07;0.03;6.51;0.07;0.03;219.12;2.19;0.95;22950.91;229.51;100.00;564.53;5.65;2.46;257.06;2.57;1.12;7707.72;77.08;33.58;14030.19;140.30;61.13;159.27;1.59;0.69;6.50;0.07;0.03;6.51;0.07;0.03;219.12;2.19;0.95;22950.91;229.51;100.00;565.21;5.65;2.46;258.25;2.58;1.13;7718.12;77.18;33.63;14017.92;140.18;61.08;159.27;1.59;0.69;6.50;0.07;0.03;6.51;0.07;0.03;219.13;2.19;0.95;
Кирково;53736.09;537.36;100.00;1213.42;12.13;2.26;590.73;5.91;1.10;17961.74;179.62;33.43;32807.06;328.07;61.05;580.89;5.81;1.08;0.01;0.00;0.00;23.01;0.23;0.04;559.23;5.59;1.04;53735.94;537.36;100.00;1222.15;12.22;2.27;591.05;5.91;1.10;17953.38;179.53;33.41;32807.17;328.07;61.05;579.91;5.80;1.08;0.03;0.00;0.00;23.01;0.23;0.04;559.23;5.59;1.04;53735.94;537.36;100.00;1223.73;12.24;2.28;591.66;5.92;1.10;17929.18;179.29;33.37;32828.92;328.29;61.09;580.18;5.80;1.08;0.03;0.00;0.00;23.01;0.23;0.04;559.23;5.59;1.04;53735.94;537.36;100.00;1226.61;12.27;2.28;593.51;5.94;1.10;17834.60;178.35;33.19;32918.77;329.19;61.26;580.18;5.80;1.08;0.03;0.00;0.00;23.01;0.23;0.04;559.22;5.59;1.04;
Крумовград;84264.33;842.64;100.00;1274.53;12.75;1.51;985.70;9.86;1.17;37753.15;377.53;44.80;41704.59;417.05;49.49;1027.77;10.28;1.22;792.00;7.92;0.94;155.49;1.55;0.18;571.11;5.71;0.68;84264.33;842.64;100.00;1273.27;12.73;1.51;986.40;9.86;1.17;37529.94;375.30;44.54;41926.33;419.26;49.76;1028.14;10.28;1.22;792.00;7.92;0.94;157.15;1.57;0.19;571.11;5.71;0.68;84264.33;842.64;100.00;1186.68;11.87;1.41;986.30;9.86;1.17;37603.68;376.04;44.63;41939.28;419.39;49.77;1028.14;10.28;1.22;792.00;7.92;0.94;157.15;1.57;0.19;571.11;5.71;0.68;84264.33;842.64;100.00;1189.69;11.90;1.41;986.46;9.86;1.17;37626.49;376.26;44.65;41913.28;419.13;49.74;1028.15;10.28;1.22;792.00;7.92;0.94;157.15;1.57;0.19;571.11;5.71;0.68;
Кърджали;57444.34;574.44;100.00;3080.11;30.80;5.36;1160.51;11.61;2.02;20853.80;208.54;36.30;28198.20;281.98;49.09;3728.15;37.28;6.49;10.56;0.11;0.02;230.83;2.31;0.40;182.18;1.82;0.32;57444.34;574.44;100.00;3113.50;31.14;5.42;1161.24;11.61;2.02;20826.13;208.26;36.25;28195.70;281.96;49.08;3728.75;37.29;6.49;10.56;0.11;0.02;226.29;2.26;0.39;182.18;1.82;0.32;57444.34;574.44;100.00;3151.90;31.52;5.49;1164.88;11.65;2.03;20784.49;207.84;36.18;28195.39;281.95;49.08;3728.73;37.29;6.49;10.56;0.11;0.02;226.29;2.26;0.39;182.12;1.82;0.32;57444.34;574.44;100.00;3172.10;31.72;5.52;1161.04;11.61;2.02;20865.08;208.65;36.32;28098.19;280.98;48.91;3728.98;37.29;6.49;10.56;0.11;0.02;226.29;2.26;0.39;182.11;1.82;0.32;
Момчилград;36006.40;360.06;100.00;1011.31;10.11;2.81;509.73;5.10;1.42;15223.92;152.24;42.28;18035.01;180.35;50.09;796.72;7.97;2.21;38.05;0.38;0.11;10.37;0.10;0.03;381.29;3.81;1.06;36006.40;360.06;100.00;1011.39;10.11;2.81;512.35;5.12;1.42;15224.21;152.24;42.28;18032.27;180.32;50.08;796.72;7.97;2.21;38.05;0.38;0.11;10.13;0.10;0.03;381.29;3.81;1.06;36006.40;360.06;100.00;1011.30;10.11;2.81;519.06;5.19;1.44;15219.72;152.20;42.27;18030.13;180.30;50.07;796.72;7.97;2.21;38.05;0.38;0.11;10.13;0.10;0.03;381.29;3.81;1.06;36006.40;360.06;100.00;1012.37;10.12;2.81;527.92;5.28;1.47;15259.87;152.60;42.38;17978.90;179.79;49.93;798.88;7.99;2.22;37.05;0.37;0.10;10.13;0.10;0.03;381.29;3.81;1.06;
Черноочене;32696.80;326.97;100.00;607.21;6.07;1.86;330.89;3.31;1.01;12072.10;120.72;36.92;19054.96;190.55;58.28;267.53;2.68;0.82;42.55;0.43;0.13;1.21;0.01;0.00;320.35;3.20;0.98;32696.80;326.97;100.00;607.58;6.08;1.86;330.95;3.31;1.01;12072.35;120.72;36.92;19054.27;190.54;58.28;267.53;2.68;0.82;42.55;0.43;0.13;1.21;0.01;0.00;320.35;3.20;0.98;32696.80;326.97;100.00;613.09;6.13;1.88;330.98;3.31;1.01;12064.81;120.65;36.90;19056.28;190.56;58.28;267.53;2.68;0.82;42.55;0.43;0.13;1.21;0.01;0.00;320.35;3.20;0.98;32696.84;326.97;100.00;613.78;6.14;1.88;335.17;3.35;1.03;12053.63;120.54;36.86;19034.17;190.34;58.21;295.93;2.96;0.91;42.55;0.43;0.13;1.21;0.01;0.00;320.38;3.20;0.98;
Пазарджик;445848.58;4458.49;100.00;13771.28;137.71;3.09;10884.80;108.85;2.44;150570.89;1505.71;33.77;244742.42;2447.42;54.89;11935.38;119.35;2.68;6144.94;61.45;1.38;1873.94;18.74;0.42;5924.94;59.25;1.33;445848.58;4458.49;100.00;14089.92;140.90;3.16;11004.32;110.04;2.47;148088.91;1480.89;33.22;242246.23;2422.46;54.33;11928.19;119.28;2.68;10689.26;106.89;2.40;1876.87;18.77;0.42;5924.88;59.25;1.33;445848.58;4458.49;100.00;14599.34;145.99;3.27;11078.57;110.79;2.48;150331.98;1503.32;33.72;244961.83;2449.62;54.94;11996.33;119.96;2.69;10702.98;107.03;2.40;1886.90;18.87;0.42;290.65;2.91;0.07;445848.49;4458.48;100.00;14919.84;149.20;3.35;11177.54;111.78;2.51;149858.60;1498.59;33.61;244970.15;2449.70;54.94;12028.72;120.29;2.70;10706.64;107.07;2.40;1949.91;19.50;0.44;237.10;2.37;0.05;
Батак;67764.68;677.65;100.00;571.42;5.71;0.84;484.27;4.84;0.71;6276.45;62.76;9.26;54837.51;548.38;80.92;2923.11;29.23;4.31;2669.00;26.69;3.94;2.90;0.03;0.00;0.01;0.00;0.00;67764.68;677.65;100.00;572.47;5.72;0.84;484.09;4.84;0.71;6184.55;61.85;9.13;54928.54;549.29;81.06;2923.11;29.23;4.31;2669.00;26.69;3.94;2.90;0.03;0.00;0.01;0.00;0.00;67764.68;677.65;100.00;574.83;5.75;0.85;498.33;4.98;0.74;6181.20;61.81;9.12;54915.30;549.15;81.04;2923.11;29.23;4.31;2669.00;26.69;3.94;2.90;0.03;0.00;0.00;0.00;0.00;67764.68;677.65;100.00;574.26;5.74;0.85;502.49;5.02;0.74;6180.98;61.81;9.12;54908.46;549.08;81.03;2923.10;29.23;4.31;2672.49;26.72;3.94;2.90;0.03;0.00;0.00;0.00;0.00;
